param_Boost__n_estimators,train acc,test acc
1,0.5,0.5000000000000001
5,0.5,0.5000000000000001
10,0.5,0.5000000000000001
20,0.5,0.5000000000000001
30,0.5,0.5000000000000001
40,0.5,0.5000000000000001
50,0.5,0.5000000000000001
60,0.5,0.5000000000000001
70,0.5,0.5000000000000001
80,0.5,0.5000000000000001
90,0.5,0.5000000000000001
100,0.5,0.5000000000000001
110,0.5,0.5000000000000001
120,0.5,0.5000000000000001
140,0.5,0.5000000000000001
160,0.5,0.5000000000000001
200,0.5,0.5000000000000001
240,0.5,0.5000000000000001
300,0.5,0.5000000000000001
