,fpr,tpr,exp,clf,roc_auc
0,0.0,0.009708737864077669,enhancer-b,SVMLinear,0.8092005461165049
1,0.0,0.07766990291262135,enhancer-b,SVMLinear,0.8092005461165049
2,0.00390625,0.07766990291262135,enhancer-b,SVMLinear,0.8092005461165049
3,0.00390625,0.1553398058252427,enhancer-b,SVMLinear,0.8092005461165049
4,0.0078125,0.1553398058252427,enhancer-b,SVMLinear,0.8092005461165049
5,0.0078125,0.1650485436893204,enhancer-b,SVMLinear,0.8092005461165049
6,0.01171875,0.1650485436893204,enhancer-b,SVMLinear,0.8092005461165049
7,0.01171875,0.18446601941747573,enhancer-b,SVMLinear,0.8092005461165049
8,0.015625,0.18446601941747573,enhancer-b,SVMLinear,0.8092005461165049
9,0.015625,0.20388349514563106,enhancer-b,SVMLinear,0.8092005461165049
10,0.015625,0.22330097087378642,enhancer-b,SVMLinear,0.8092005461165049
11,0.015625,0.24271844660194175,enhancer-b,SVMLinear,0.8092005461165049
12,0.01953125,0.24271844660194175,enhancer-b,SVMLinear,0.8092005461165049
13,0.01953125,0.2621359223300971,enhancer-b,SVMLinear,0.8092005461165049
14,0.0234375,0.2621359223300971,enhancer-b,SVMLinear,0.8092005461165049
15,0.0234375,0.27184466019417475,enhancer-b,SVMLinear,0.8092005461165049
16,0.03125,0.27184466019417475,enhancer-b,SVMLinear,0.8092005461165049
17,0.03125,0.30097087378640774,enhancer-b,SVMLinear,0.8092005461165049
18,0.03515625,0.30097087378640774,enhancer-b,SVMLinear,0.8092005461165049
19,0.03515625,0.34951456310679613,enhancer-b,SVMLinear,0.8092005461165049
20,0.046875,0.34951456310679613,enhancer-b,SVMLinear,0.8092005461165049
21,0.046875,0.3592233009708738,enhancer-b,SVMLinear,0.8092005461165049
22,0.05078125,0.3592233009708738,enhancer-b,SVMLinear,0.8092005461165049
23,0.05078125,0.36893203883495146,enhancer-b,SVMLinear,0.8092005461165049
24,0.0546875,0.36893203883495146,enhancer-b,SVMLinear,0.8092005461165049
25,0.0546875,0.3786407766990291,enhancer-b,SVMLinear,0.8092005461165049
26,0.05859375,0.3786407766990291,enhancer-b,SVMLinear,0.8092005461165049
27,0.05859375,0.39805825242718446,enhancer-b,SVMLinear,0.8092005461165049
28,0.0625,0.39805825242718446,enhancer-b,SVMLinear,0.8092005461165049
29,0.0625,0.42718446601941745,enhancer-b,SVMLinear,0.8092005461165049
30,0.06640625,0.42718446601941745,enhancer-b,SVMLinear,0.8092005461165049
31,0.06640625,0.4368932038834951,enhancer-b,SVMLinear,0.8092005461165049
32,0.07421875,0.4368932038834951,enhancer-b,SVMLinear,0.8092005461165049
33,0.07421875,0.4563106796116505,enhancer-b,SVMLinear,0.8092005461165049
34,0.08984375,0.4563106796116505,enhancer-b,SVMLinear,0.8092005461165049
35,0.08984375,0.47572815533980584,enhancer-b,SVMLinear,0.8092005461165049
36,0.09765625,0.47572815533980584,enhancer-b,SVMLinear,0.8092005461165049
37,0.09765625,0.4854368932038835,enhancer-b,SVMLinear,0.8092005461165049
38,0.10546875,0.4854368932038835,enhancer-b,SVMLinear,0.8092005461165049
39,0.10546875,0.5048543689320388,enhancer-b,SVMLinear,0.8092005461165049
40,0.12109375,0.5048543689320388,enhancer-b,SVMLinear,0.8092005461165049
41,0.12109375,0.5145631067961165,enhancer-b,SVMLinear,0.8092005461165049
42,0.125,0.5145631067961165,enhancer-b,SVMLinear,0.8092005461165049
43,0.125,0.5436893203883495,enhancer-b,SVMLinear,0.8092005461165049
44,0.12890625,0.5436893203883495,enhancer-b,SVMLinear,0.8092005461165049
45,0.12890625,0.5631067961165048,enhancer-b,SVMLinear,0.8092005461165049
46,0.1640625,0.5631067961165048,enhancer-b,SVMLinear,0.8092005461165049
47,0.1640625,0.5728155339805825,enhancer-b,SVMLinear,0.8092005461165049
48,0.16796875,0.5728155339805825,enhancer-b,SVMLinear,0.8092005461165049
49,0.16796875,0.5825242718446602,enhancer-b,SVMLinear,0.8092005461165049
50,0.1796875,0.5825242718446602,enhancer-b,SVMLinear,0.8092005461165049
51,0.1796875,0.5922330097087378,enhancer-b,SVMLinear,0.8092005461165049
52,0.19140625,0.5922330097087378,enhancer-b,SVMLinear,0.8092005461165049
53,0.19140625,0.6116504854368932,enhancer-b,SVMLinear,0.8092005461165049
54,0.2109375,0.6116504854368932,enhancer-b,SVMLinear,0.8092005461165049
55,0.2109375,0.6213592233009708,enhancer-b,SVMLinear,0.8092005461165049
56,0.21484375,0.6213592233009708,enhancer-b,SVMLinear,0.8092005461165049
57,0.21484375,0.6310679611650486,enhancer-b,SVMLinear,0.8092005461165049
58,0.21875,0.6310679611650486,enhancer-b,SVMLinear,0.8092005461165049
59,0.21875,0.6407766990291263,enhancer-b,SVMLinear,0.8092005461165049
60,0.2265625,0.6407766990291263,enhancer-b,SVMLinear,0.8092005461165049
61,0.2265625,0.6699029126213593,enhancer-b,SVMLinear,0.8092005461165049
62,0.23046875,0.6699029126213593,enhancer-b,SVMLinear,0.8092005461165049
63,0.23046875,0.6893203883495146,enhancer-b,SVMLinear,0.8092005461165049
64,0.25,0.6893203883495146,enhancer-b,SVMLinear,0.8092005461165049
65,0.25,0.6990291262135923,enhancer-b,SVMLinear,0.8092005461165049
66,0.2578125,0.6990291262135923,enhancer-b,SVMLinear,0.8092005461165049
67,0.2578125,0.7184466019417476,enhancer-b,SVMLinear,0.8092005461165049
68,0.265625,0.7184466019417476,enhancer-b,SVMLinear,0.8092005461165049
69,0.265625,0.7281553398058253,enhancer-b,SVMLinear,0.8092005461165049
70,0.2734375,0.7281553398058253,enhancer-b,SVMLinear,0.8092005461165049
71,0.2734375,0.7378640776699029,enhancer-b,SVMLinear,0.8092005461165049
72,0.2890625,0.7378640776699029,enhancer-b,SVMLinear,0.8092005461165049
73,0.2890625,0.7475728155339806,enhancer-b,SVMLinear,0.8092005461165049
74,0.29296875,0.7475728155339806,enhancer-b,SVMLinear,0.8092005461165049
75,0.29296875,0.7572815533980582,enhancer-b,SVMLinear,0.8092005461165049
76,0.3046875,0.7572815533980582,enhancer-b,SVMLinear,0.8092005461165049
77,0.3046875,0.7669902912621359,enhancer-b,SVMLinear,0.8092005461165049
78,0.31640625,0.7669902912621359,enhancer-b,SVMLinear,0.8092005461165049
79,0.31640625,0.7766990291262136,enhancer-b,SVMLinear,0.8092005461165049
80,0.328125,0.7766990291262136,enhancer-b,SVMLinear,0.8092005461165049
81,0.328125,0.7864077669902912,enhancer-b,SVMLinear,0.8092005461165049
82,0.34375,0.7864077669902912,enhancer-b,SVMLinear,0.8092005461165049
83,0.34375,0.7961165048543689,enhancer-b,SVMLinear,0.8092005461165049
84,0.375,0.7961165048543689,enhancer-b,SVMLinear,0.8092005461165049
85,0.375,0.8058252427184466,enhancer-b,SVMLinear,0.8092005461165049
86,0.3828125,0.8058252427184466,enhancer-b,SVMLinear,0.8092005461165049
87,0.3828125,0.8155339805825242,enhancer-b,SVMLinear,0.8092005461165049
88,0.38671875,0.8155339805825242,enhancer-b,SVMLinear,0.8092005461165049
89,0.38671875,0.8252427184466019,enhancer-b,SVMLinear,0.8092005461165049
90,0.40625,0.8252427184466019,enhancer-b,SVMLinear,0.8092005461165049
91,0.40625,0.8349514563106796,enhancer-b,SVMLinear,0.8092005461165049
92,0.41796875,0.8349514563106796,enhancer-b,SVMLinear,0.8092005461165049
93,0.41796875,0.8446601941747572,enhancer-b,SVMLinear,0.8092005461165049
94,0.421875,0.8446601941747572,enhancer-b,SVMLinear,0.8092005461165049
95,0.421875,0.8543689320388349,enhancer-b,SVMLinear,0.8092005461165049
96,0.44140625,0.8543689320388349,enhancer-b,SVMLinear,0.8092005461165049
97,0.44140625,0.8737864077669902,enhancer-b,SVMLinear,0.8092005461165049
98,0.45703125,0.8737864077669902,enhancer-b,SVMLinear,0.8092005461165049
99,0.45703125,0.883495145631068,enhancer-b,SVMLinear,0.8092005461165049
100,0.55859375,0.883495145631068,enhancer-b,SVMLinear,0.8092005461165049
101,0.55859375,0.8932038834951457,enhancer-b,SVMLinear,0.8092005461165049
102,0.5625,0.8932038834951457,enhancer-b,SVMLinear,0.8092005461165049
103,0.5625,0.9029126213592233,enhancer-b,SVMLinear,0.8092005461165049
104,0.57421875,0.9029126213592233,enhancer-b,SVMLinear,0.8092005461165049
105,0.57421875,0.912621359223301,enhancer-b,SVMLinear,0.8092005461165049
106,0.5859375,0.912621359223301,enhancer-b,SVMLinear,0.8092005461165049
107,0.5859375,0.9223300970873787,enhancer-b,SVMLinear,0.8092005461165049
108,0.58984375,0.9223300970873787,enhancer-b,SVMLinear,0.8092005461165049
109,0.58984375,0.9320388349514563,enhancer-b,SVMLinear,0.8092005461165049
110,0.60546875,0.9320388349514563,enhancer-b,SVMLinear,0.8092005461165049
111,0.60546875,0.941747572815534,enhancer-b,SVMLinear,0.8092005461165049
112,0.6640625,0.941747572815534,enhancer-b,SVMLinear,0.8092005461165049
113,0.6640625,0.9611650485436893,enhancer-b,SVMLinear,0.8092005461165049
114,0.671875,0.9611650485436893,enhancer-b,SVMLinear,0.8092005461165049
115,0.671875,0.970873786407767,enhancer-b,SVMLinear,0.8092005461165049
116,0.6953125,0.970873786407767,enhancer-b,SVMLinear,0.8092005461165049
117,0.6953125,0.9805825242718447,enhancer-b,SVMLinear,0.8092005461165049
118,0.7265625,0.9805825242718447,enhancer-b,SVMLinear,0.8092005461165049
119,0.7265625,0.9902912621359223,enhancer-b,SVMLinear,0.8092005461165049
120,0.76171875,0.9902912621359223,enhancer-b,SVMLinear,0.8092005461165049
121,0.76171875,1.0,enhancer-b,SVMLinear,0.8092005461165049
122,1.0,1.0,enhancer-b,SVMLinear,0.8092005461165049
