iterations,fitness,time,fevals
0,24.0,0.00084081,548
10,23.0,0.001505452,1003
20,23.0,0.002144354,1453
30,21.0,0.002703694,1925
40,21.0,0.003152389,2366
50,23.0,0.003588261,2813
60,22.0,0.004087896,3277
70,23.0,0.004602874,3736
80,25.0,0.005049999,4171
90,25.0,0.005547139,4625
100,28.0,0.005965651,5081
110,29.0,0.006368475,5522
120,30.0,0.006779501,5974
130,30.0,0.007178906,6436
140,30.0,0.007575394,6897
150,30.0,0.007970429,7359
160,29.0,0.008386733,7813
170,31.0,0.008781384,8255
180,31.0,0.009366384,8699
190,32.0,0.009902733,9152
200,32.0,0.010434934,9607
210,35.0,0.010961392,10071
220,36.0,0.011511317,10528
230,34.0,0.012051748,10983
240,36.0,0.012597281,11438
250,35.0,0.01314358,11896
260,38.0,0.013630756,12357
270,39.0,0.014143043,12808
280,39.0,0.014671159,13258
290,39.0,0.015190119,13733
300,37.0,0.015644727,14192
310,38.0,0.016051987,14633
320,39.0,0.016535015,15090
330,38.0,0.016939366,15548
340,38.0,0.017399599,16017
350,39.0,0.017816654,16492
360,40.0,0.01822356,16961
370,41.0,0.01860351,17405
380,42.0,0.018965315,17863
390,40.0,0.019306305,18321
400,42.0,0.01965747,18775
410,42.0,0.020174478,19233
420,42.0,0.020569295,19686
430,42.0,0.020984649,20125
440,41.0,0.021406214,20585
450,40.0,0.02180195,21041
460,41.0,0.022215939,21502
470,40.0,0.022713446,21965
480,41.0,0.023296967,22420
490,40.0,0.023775324,22879
500,41.0,0.024198954,23330
510,40.0,0.024603611,23796
520,40.0,0.025057065,24251
530,40.0,0.025456652,24689
540,41.0,0.025860416,25145
550,41.0,0.02624121,25599
560,41.0,0.0268561,26057
570,42.0,0.027383903,26511
580,44.0,0.027904758,26976
590,42.0,0.028338838,27435
600,45.0,0.028811002,27894
610,44.0,0.029256054,28358
620,42.0,0.029685001,28826
630,43.0,0.030129574,29277
640,46.0,0.030552608,29718
650,46.0,0.03094865,30172
660,45.0,0.03142239,30616
670,45.0,0.031793442,31075
680,45.0,0.032154346,31539
690,46.0,0.032556422,32009
700,45.0,0.032949057,32462
710,46.0,0.033392208,32915
720,45.0,0.033786436,33369
730,47.0,0.034180409,33827
740,46.0,0.034556278,34288
750,46.0,0.034939941,34746
760,46.0,0.035332053,35196
770,48.0,0.03571155,35662
780,50.0,0.036071569,36126
790,51.0,0.036540053,36580
800,51.0,0.037036234,37037
810,52.0,0.037538414,37486
820,51.0,0.038018281,37935
830,51.0,0.038517474,38387
840,51.0,0.039019928,38849
850,52.0,0.039519275,39291
860,53.0,0.040055666,39751
870,55.0,0.040547834,40207
880,54.0,0.041151881,40660
890,57.0,0.041537625,41120
900,54.0,0.042009777,41564
910,54.0,0.042402626,42023
920,52.0,0.042783219,42484
930,52.0,0.04321567,42920
940,53.0,0.043683817,43363
950,53.0,0.044210037,43815
960,53.0,0.044681338,44277
970,55.0,0.045179489,44737
980,56.0,0.045730048,45198
990,57.0,0.046074532,45646
1000,57.0,0.046390282,46105
1010,57.0,0.046695942,46557
1020,59.0,0.047092475,47015
1030,57.0,0.047520488,47467
1040,57.0,0.047841724,47914
1050,57.0,0.048159976,48367
1060,57.0,0.048478024,48821
1070,57.0,0.048802308,49271
1080,58.0,0.049150003,49722
1090,57.0,0.049506782,50161
1100,57.0,0.049946054,50617
1110,58.0,0.050322535,51065
1120,57.0,0.050738682,51515
1130,58.0,0.051295041,51959
1140,58.0,0.051702226,52406
1150,57.0,0.052099845,52862
1160,57.0,0.052484316,53307
1170,56.0,0.052875841,53757
1180,57.0,0.053220422,54205
1190,57.0,0.053597859,54669
1200,57.0,0.053941308,55116
1210,57.0,0.054512012,55568
1220,58.0,0.055021417,56030
1230,59.0,0.05562195,56484
1240,60.0,0.055984781,56948
1250,60.0,0.056337506,57398
1260,60.0,0.05670248,57843
1270,60.0,0.057098943,58301
1280,61.0,0.057442383,58764
1290,61.0,0.057829622,59210
1300,61.0,0.058186464,59660
1310,61.0,0.058514902,60106
1320,62.0,0.058867541,60557
1330,61.0,0.05918167,61008
1340,61.0,0.059533003,61468
1350,61.0,0.059936019,61922
1360,60.0,0.060324423,62376
1370,61.0,0.060682698,62823
1380,59.0,0.061047275,63288
1390,59.0,0.061428763,63756
1400,60.0,0.061795516,64206
1410,60.0,0.062167481,64672
1420,58.0,0.062509763,65123
1430,59.0,0.062843003,65579
1440,59.0,0.063182684,66033
1450,59.0,0.063523789,66472
1460,58.0,0.063899932,66934
1470,58.0,0.064408173,67393
1480,59.0,0.064880574,67856
1490,61.0,0.065324559,68312
1500,63.0,0.065858526,68764
1510,62.0,0.06633962,69210
1520,62.0,0.066717356,69660
1530,65.0,0.067067718,70114
1540,64.0,0.06744999,70572
1550,65.0,0.0677922,71025
1560,67.0,0.068213574,71453
1570,68.0,0.068690625,71913
1580,67.0,0.069130539,72365
1590,66.0,0.069536354,72831
1600,66.0,0.069851159,73291
1610,66.0,0.070188412,73748
1620,65.0,0.070536827,74209
1630,67.0,0.070864382,74667
1640,64.0,0.071173758,75129
1650,65.0,0.07148388,75583
1660,65.0,0.071788199,76035
1670,65.0,0.072078976,76496
1680,65.0,0.072386493,76954
1690,67.0,0.072726021,77413
1700,65.0,0.073067794,77872
1710,65.0,0.073363295,78341
1720,65.0,0.07373597,78805
1730,65.0,0.074074965,79267
1740,65.0,0.074462066,79714
1750,64.0,0.074799752,80176
1760,64.0,0.075135348,80638
1770,64.0,0.075521147,81097
1780,64.0,0.075917515,81553
1790,64.0,0.076264843,81998
1800,63.0,0.076711476,82445
1810,62.0,0.077068681,82905
1820,64.0,0.077429108,83380
1830,64.0,0.077787362,83823
1840,63.0,0.078157962,84275
1850,63.0,0.078654231,84736
1860,62.0,0.079111144,85210
1870,63.0,0.079567981,85662
1880,65.0,0.080040951,86106
1890,64.0,0.080410227,86566
1900,62.0,0.080754836,87021
1910,62.0,0.081127499,87479
1920,63.0,0.081490527,87936
1930,64.0,0.081932254,88390
1940,62.0,0.082318263,88840
1950,61.0,0.082729184,89306
1960,62.0,0.083139659,89770
1970,62.0,0.083499679,90225
1980,62.0,0.083819342,90679
1990,61.0,0.084164088,91135
2000,62.0,0.084518923,91594
2010,62.0,0.084870765,92051
2020,60.0,0.085235755,92521
2030,61.0,0.085600316,92979
2040,59.0,0.08596386,93440
2050,59.0,0.086327425,93897
2060,60.0,0.086685022,94332
2070,60.0,0.08706264,94783
2080,63.0,0.087428861,95246
2090,62.0,0.087775774,95708
2100,63.0,0.088147206,96158
2110,63.0,0.088538498,96623
2120,63.0,0.08886777,97071
2130,64.0,0.089230144,97521
2140,63.0,0.089623265,97986
2150,63.0,0.089968634,98447
2160,63.0,0.090303449,98906
2170,63.0,0.090680438,99360
2180,64.0,0.091014946,99809
2190,63.0,0.091357263,100262
2200,64.0,0.091696596,100718
2210,64.0,0.092058905,101181
2220,64.0,0.092432468,101636
2230,65.0,0.092894553,102103
2240,64.0,0.0932447,102541
2250,67.0,0.093584709,102999
2260,66.0,0.093941079,103457
2270,64.0,0.09428489,103914
2280,65.0,0.09461377,104361
2290,65.0,0.095075601,104811
2300,65.0,0.09543046,105259
2310,64.0,0.096017104,105723
2320,64.0,0.09653952,106190
2330,65.0,0.09701716,106635
2340,65.0,0.097418828,107088
2350,65.0,0.09778953,107545
2360,64.0,0.098158776,107994
2370,66.0,0.098525214,108458
2380,66.0,0.098838964,108911
2390,67.0,0.099162777,109376
2400,67.0,0.099521557,109833
2410,67.0,0.099850288,110292
2420,68.0,0.100166051,110739
2430,67.0,0.100493692,111191
2440,67.0,0.100821664,111656
2450,65.0,0.101153045,112105
2460,67.0,0.101479179,112564
2470,68.0,0.101870891,113020
2480,69.0,0.102271308,113478
2490,69.0,0.102690045,113941
2500,70.0,0.103021077,114390
2510,70.0,0.103340815,114851
2520,71.0,0.103673702,115308
2530,71.0,0.104046912,115750
2540,72.0,0.104377507,116211
2550,72.0,0.104707309,116680
2560,72.0,0.105033664,117128
2570,72.0,0.105345796,117595
2580,72.0,0.105657859,118050
2590,72.0,0.105971736,118507
2600,71.0,0.106286693,118971
2610,71.0,0.106650121,119437
2620,70.0,0.107069909,119893
2630,70.0,0.107571143,120355
2640,70.0,0.108057654,120812
2650,71.0,0.108522465,121279
2660,70.0,0.109056251,121711
2670,70.0,0.109531287,122152
2680,71.0,0.110007343,122595
2690,72.0,0.110569111,123053
2700,72.0,0.111058084,123510
2710,72.0,0.111618371,123966
2720,72.0,0.112156164,124424
2730,71.0,0.11266286,124869
2740,68.0,0.113113651,125320
2750,69.0,0.113580237,125783
2760,70.0,0.114043127,126232
2770,72.0,0.114485022,126685
2780,70.0,0.11492116,127147
2790,71.0,0.11536912,127598
2800,70.0,0.115803214,128041
2810,70.0,0.116275984,128495
2820,70.0,0.116720984,128958
2830,69.0,0.117159131,129414
2840,69.0,0.117685223,129873
2850,70.0,0.118123974,130327
2860,69.0,0.118566818,130784
2870,71.0,0.119010558,131240
2880,71.0,0.119458055,131711
2890,70.0,0.119827055,132157
2900,71.0,0.12019503,132612
2910,70.0,0.120528004,133076
2920,71.0,0.120857904,133527
2930,71.0,0.12116752,133975
2940,72.0,0.121480565,134436
2950,72.0,0.121801673,134902
2960,72.0,0.122130974,135350
2970,72.0,0.122449779,135798
2980,71.0,0.122773185,136248
2990,71.0,0.123123041,136691
3000,72.0,0.123452163,137133
3010,71.0,0.123800125,137598
3020,71.0,0.124519946,138055
3030,70.0,0.125008324,138511
3040,69.0,0.125421466,138959
3050,68.0,0.125768122,139417
3060,72.0,0.126107277,139875
3070,70.0,0.126455295,140314
3080,70.0,0.126782591,140770
3090,68.0,0.127112796,141219
3100,69.0,0.127492191,141673
3110,68.0,0.1278548,142124
3120,69.0,0.128223049,142587
3130,66.0,0.128636484,143035
3140,68.0,0.129012007,143472
3150,67.0,0.129434283,143940
3160,68.0,0.129803809,144394
3170,68.0,0.130146838,144851
3180,69.0,0.130498547,145307
3190,69.0,0.130883841,145760
3200,70.0,0.131230048,146210
3210,70.0,0.131601982,146674
3220,70.0,0.131934166,147129
3230,70.0,0.132265653,147577
3240,71.0,0.132593637,148019
3250,71.0,0.132931264,148477
3260,71.0,0.133283273,148940
3270,73.0,0.133614107,149391
3280,72.0,0.133971646,149826
3290,71.0,0.134359894,150280
3300,72.0,0.134717791,150722
3310,71.0,0.135236237,151184
3320,73.0,0.135698664,151644
3330,73.0,0.136195801,152105
3340,73.0,0.136698628,152556
3350,73.0,0.137218563,153007
3360,73.0,0.137786195,153463
3370,73.0,0.138264379,153915
3380,73.0,0.138760804,154369
3390,74.0,0.139260959,154822
3400,75.0,0.139737642,155282
3410,75.0,0.140240632,155735
3420,74.0,0.140682458,156199
3430,77.0,0.141153436,156662
3440,75.0,0.141598004,157095
3450,75.0,0.142064376,157543
3460,75.0,0.142527684,157982
3470,75.0,0.142988007,158428
3480,75.0,0.14344124,158878
3490,76.0,0.143858102,159328
3500,76.0,0.144359263,159776
3510,77.0,0.144821426,160228
3520,77.0,0.145270255,160686
3530,77.0,0.145735733,161153
3540,77.0,0.146066332,161612
3550,77.0,0.146416147,162066
3560,78.0,0.146803764,162527
3570,78.0,0.147162309,162978
3580,77.0,0.147525092,163432
3590,77.0,0.147866995,163906
3600,77.0,0.148234792,164376
3610,78.0,0.148608615,164827
3620,77.0,0.148967177,165287
3630,75.0,0.149326444,165742
3640,76.0,0.149703423,166197
3650,76.0,0.150085496,166662
3660,76.0,0.15045134,167116
3670,76.0,0.150819116,167560
3680,77.0,0.15123372,168013
3690,78.0,0.151708366,168464
3700,76.0,0.152059089,168909
3710,76.0,0.152366945,169361
3720,77.0,0.152671361,169810
3730,79.0,0.153001735,170255
3740,78.0,0.153345343,170708
3750,77.0,0.153680829,171164
3760,76.0,0.154002941,171614
3770,76.0,0.154329645,172072
3780,75.0,0.154693813,172530
3790,76.0,0.155014686,173005
3800,76.0,0.155331082,173450
3810,77.0,0.155685476,173898
3820,76.0,0.156010264,174355
3830,76.0,0.156342796,174814
3840,77.0,0.156664373,175275
3850,77.0,0.156983646,175723
3860,73.0,0.157308232,176185
3870,77.0,0.157630177,176635
3880,76.0,0.157959156,177078
3890,77.0,0.158263376,177535
3900,78.0,0.158580317,177982
3910,76.0,0.158917741,178443
3920,77.0,0.159233467,178899
3930,77.0,0.159560284,179352
3940,78.0,0.159863955,179810
3950,78.0,0.160163188,180260
3960,78.0,0.160459053,180719
3970,76.0,0.160882443,181183
3980,77.0,0.161311648,181625
3990,77.0,0.161789963,182084
4000,77.0,0.162309454,182548
4010,75.0,0.16276034,183005
4020,81.0,0.163166488,183469
4030,81.0,0.16358589,183927
4040,81.0,0.163950858,184391
4050,79.0,0.164282894,184860
4060,81.0,0.164612288,185309
4070,81.0,0.164936653,185762
4080,81.0,0.16527653,186210
4090,81.0,0.165598095,186665
4100,83.0,0.165980406,187123
4110,81.0,0.166452337,187588
4120,83.0,0.166785837,188042
4130,83.0,0.167131701,188502
4140,84.0,0.167454788,188944
4150,84.0,0.16778343,189390
4160,85.0,0.16811217,189839
4170,87.0,0.168422167,190285
4180,85.0,0.168751181,190749
4190,85.0,0.169062763,191208
4200,85.0,0.169412212,191665
4210,85.0,0.169722328,192103
4220,85.0,0.170021889,192558
4230,86.0,0.17031908,193006
4240,85.0,0.170633002,193461
4250,86.0,0.17094335,193921
4260,85.0,0.171257047,194365
4270,85.0,0.171648841,194831
4280,86.0,0.172092328,195282
4290,85.0,0.172504512,195738
4300,85.0,0.172818789,196199
4310,85.0,0.17313125,196668
4320,86.0,0.173448141,197127
4330,85.0,0.173782069,197581
4340,85.0,0.174145367,198042
4350,85.0,0.174524961,198490
4360,86.0,0.175039436,198946
4370,86.0,0.175641204,199412
4380,86.0,0.176125382,199865
4390,86.0,0.176567348,200325
4400,88.0,0.177014923,200782
4410,87.0,0.17745835,201241
4420,85.0,0.177902315,201713
4430,85.0,0.178414595,202173
4440,85.0,0.178935516,202624
4450,85.0,0.179363539,203080
4460,86.0,0.179880646,203536
4470,83.0,0.180442128,203994
4480,83.0,0.180854946,204443
4490,83.0,0.181335368,204899
4500,84.0,0.181853418,205358
4510,82.0,0.182301348,205795
4520,82.0,0.182757761,206258
4530,82.0,0.183203832,206699
4540,82.0,0.183644694,207152
4550,81.0,0.184112919,207613
4560,82.0,0.184534926,208063
4570,80.0,0.185068316,208525
4580,79.0,0.185518596,208977
4590,78.0,0.186023316,209417
4600,79.0,0.186439337,209878
4610,76.0,0.186789956,210328
4620,77.0,0.187141339,210787
4630,75.0,0.187574171,211240
4640,78.0,0.188157165,211703
4650,80.0,0.188582485,212167
4660,79.0,0.188990339,212624
4670,79.0,0.189355008,213061
4680,80.0,0.189710918,213522
4690,79.0,0.190048354,213985
4700,79.0,0.190395429,214434
4710,78.0,0.190709559,214881
4720,78.0,0.191033284,215342
4730,77.0,0.191350513,215813
4740,79.0,0.191679494,216257
4750,78.0,0.192028395,216737
4760,78.0,0.192350311,217190
4770,78.0,0.192665151,217642
4780,78.0,0.193012146,218103
4790,78.0,0.193328166,218569
4800,81.0,0.193674845,219027
4810,80.0,0.193993038,219482
4820,79.0,0.194305004,219926
4830,80.0,0.194626695,220384
4840,79.0,0.194945027,220835
4850,80.0,0.195293049,221288
4860,80.0,0.195626082,221745
4870,81.0,0.195967611,222215
4880,78.0,0.196308894,222670
4890,78.0,0.196649578,223130
4900,79.0,0.196981415,223579
4910,80.0,0.197306507,224028
4920,80.0,0.197708353,224479
4930,79.0,0.198039472,224941
4940,79.0,0.198487947,225403
4950,78.0,0.198840171,225870
4960,78.0,0.199165971,226321
4970,79.0,0.199503774,226788
4980,79.0,0.19983518,227251
4990,80.0,0.20019936,227706
5000,80.0,0.200542225,228165
