iterations,fitness,time,fevals
0,25.0,0.0803731870001,1000
10,37.0,0.151756064,2100
20,39.0,0.220077273,3200
30,43.0,0.282897038,4300
40,41.0,0.336220179,5400
50,42.0,0.387177132,6500
60,42.0,0.441188565,7600
70,43.0,0.499786488,8700
80,43.0,0.549366083,9800
90,45.0,0.604496129,10900
100,44.0,0.657145789,12000
110,43.0,0.712052231,13100
120,44.0,0.761227575,14200
130,44.0,0.809176121,15300
140,45.0,0.858527651,16400
150,45.0,0.907389618,17500
160,45.0,0.958901229001,18600
170,44.0,1.007198386,19700
180,44.0,1.055824709,20800
190,45.0,1.11121533,21900
200,45.0,1.168378877,23000
210,45.0,1.223527025,24100
220,46.0,1.276782736,25200
230,47.0,1.323348646,26300
240,54.0,1.371431935,27400
250,48.0,1.423764968,28500
260,47.0,1.480114098,29600
270,45.0,1.527472469,30700
280,46.0,1.575415269,31800
290,45.0,1.622246482,32900
300,46.0,1.675639594,34000
310,46.0,1.723333632,35100
320,46.0,1.770449486,36200
330,51.0,1.820614071,37300
340,51.0,1.870633982,38400
350,56.0,1.922124606,39500
360,52.0,1.972131622,40600
370,52.0,2.021348037,41700
380,53.0,2.074092244,42800
390,54.0,2.123316427,43900
400,53.0,2.17482686,45000
410,52.0,2.228048618,46100
420,56.0,2.281447402,47200
430,56.0,2.338927187,48300
440,57.0,2.391171294,49400
450,57.0,2.442596107,50500
460,53.0,2.495008812,51600
470,55.0,2.546242743,52700
480,72.0,2.598178822,53800
490,72.0,2.652913372,54900
500,73.0,2.710362906,56000
510,57.0,2.761998619,57100
520,59.0,2.814353061,58200
530,72.0,2.865838412,59300
540,71.0,2.917422354,60400
550,73.0,2.973918454,61500
560,72.0,3.029435228,62600
570,59.0,3.077342781,63700
580,59.0,3.129627847,64800
590,58.0,3.178562159,65900
600,60.0,3.227520416,67000
610,59.0,3.273261232,68100
620,58.0,3.323082747,69200
630,59.0,3.373481574,70300
640,59.0,3.431047115,71400
650,57.0,3.483826945,72500
660,58.0,3.535815513,73600
670,58.0,3.584227091,74700
680,59.0,3.639447131,75800
690,63.0,3.692931646,76900
700,59.0,3.747184503,78000
710,60.0,3.806498602,79100
720,58.0,3.860308391,80200
730,59.0,3.919278145,81300
740,61.0,3.97535055,82400
750,59.0,4.026499995,83500
760,61.0,4.075585976,84600
770,58.0,4.125446486,85700
780,61.0,4.175023186,86800
790,60.0,4.226261629,87900
800,61.0,4.276361032,89000
810,61.0,4.323579697,90100
820,61.0,4.37897089,91200
830,61.0,4.430503207,92300
840,65.0,4.483530323,93400
850,61.0,4.534200423,94500
860,61.0,4.582668682,95600
870,61.0,4.633653865,96700
880,59.0,4.680602445,97800
890,61.0,4.728673925,98900
900,61.0,4.783743944,100000
910,59.0,4.837322328,101100
920,61.0,4.885739399,102200
930,62.0,4.942161316,103300
940,71.0,4.990290645,104400
950,70.0,5.051401403,105500
960,62.0,5.099685894,106600
970,66.0,5.146886038,107700
980,62.0,5.195140924,108800
990,63.0,5.247755607,109900
1000,63.0,5.297458927,111000
1010,63.0,5.351722614,112100
1020,62.0,5.407176883,113200
1030,69.0,5.455497087,114300
1040,67.0,5.502527599,115400
1050,66.0,5.551094954,116500
1060,63.0,5.603520901,117600
1070,62.0,5.659460481,118700
1080,62.0,5.715502709,119800
1090,66.0,5.768831738,120900
1100,63.0,5.815983398,122000
1110,63.0,5.866693062,123100
1120,62.0,5.917959795,124200
1130,68.0,5.968407206,125300
1140,62.0,6.017491882,126400
1150,68.0,6.069483513,127500
1160,70.0,6.116372299,128600
1170,62.0,6.169559991,129700
1180,70.0,6.22520913,130800
1190,64.0,6.277073827,131900
1200,62.0,6.327033723,133000
1210,61.0,6.374181633,134100
1220,64.0,6.423996014,135200
1230,64.0,6.47091981,136300
1240,62.0,6.522965706,137400
1250,61.0,6.57283646,138500
1260,64.0,6.622215646,139600
1270,65.0,6.671290081,140700
1280,61.0,6.723726327,141800
1290,69.0,6.778457305,142900
1300,63.0,6.83597515,144000
1310,64.0,6.893299096,145100
1320,62.0,6.943988193,146200
