iterations,fitness,time,fevals
0,14.0,2.1666e-05,11
10,16.0,3.93e-05,21
20,16.0,5.3957e-05,31
30,16.0,6.9451e-05,41
40,16.0,8.5843e-05,51
50,17.0,0.000100299,61
60,17.0,0.000122722,71
70,17.0,0.000136386,81
80,17.0,0.000151549,91
90,18.0,0.000173091,101
100,18.0,0.000189354,111
110,18.0,0.000205773,121
120,18.0,0.000229747,131
130,18.0,0.000247506,141
140,18.0,0.000264874,151
150,18.0,0.000282466,161
160,18.0,0.0002964,171
170,18.0,0.000311441,181
180,18.0,0.000326925,191
190,18.0,0.000347364,201
200,18.0,0.000362125,211
210,18.0,0.000377833,221
220,18.0,0.000391981,231
230,18.0,0.000410408,241
240,18.0,0.000425416,251
250,18.0,0.000440193,261
260,18.0,0.000454932,271
270,18.0,0.000468399,281
280,18.0,0.000481045,291
290,18.0,0.000494949,301
300,18.0,0.000506887,311
310,18.0,0.00051851,321
320,18.0,0.000531209,331
330,18.0,0.000543968,341
340,18.0,0.000557835,351
350,18.0,0.000573322,361
360,18.0,0.000585347,371
370,18.0,0.000598987,381
380,18.0,0.000612444,391
390,18.0,0.000627064,401
400,18.0,0.000641082,411
410,18.0,0.000653497,421
420,18.0,0.00066702,431
430,18.0,0.000680612,441
440,19.0,0.000693576,451
450,19.0,0.000706129,461
460,20.0,0.000721242,471
470,21.0,0.000736817,481
480,21.0,0.00075025,491
490,21.0,0.000767813,501
500,22.0,0.000782237,511
510,22.0,0.000799796,521
520,22.0,0.000813267,531
530,22.0,0.000829198,541
540,22.0,0.000841231,551
550,22.0,0.000853355,561
560,25.0,0.000867973,571
570,25.0,0.000880973,581
580,25.0,0.000892593,591
590,25.0,0.000905568,601
600,25.0,0.000919835,611
610,25.0,0.000934611,621
620,25.0,0.000947225,631
630,25.0,0.000959931,641
640,25.0,0.000977561,651
650,25.0,0.000991682,661
660,25.0,0.001008185,671
670,25.0,0.001021746,681
680,25.0,0.001036145,691
690,25.0,0.001052991,701
700,26.0,0.001067181,711
710,26.0,0.001082702,721
720,26.0,0.001096361,731
730,26.0,0.001110834,741
740,26.0,0.001124939,751
750,26.0,0.001139497,761
760,26.0,0.001153097,771
770,26.0,0.001167411,781
780,27.0,0.001184561,791
790,27.0,0.001197393,801
800,27.0,0.001210461,811
810,27.0,0.001234749,821
820,27.0,0.001453385,831
830,27.0,0.001472189,841
840,27.0,0.001487664,851
850,27.0,0.001504007,861
860,27.0,0.001518097,871
870,27.0,0.001532682,881
880,27.0,0.001548394,891
890,27.0,0.001562011,901
900,27.0,0.00158017,911
