iterations,fitness,time,fevals
0,12.0,1.15060000001e-05,11
10,13.0,2.13410000001e-05,21
20,11.0,3.04710000001e-05,31
30,12.0,3.91909999999e-05,41
40,12.0,4.70909999999e-05,51
50,12.0,6.05279999999e-05,61
60,13.0,7.04819999999e-05,71
70,14.0,7.95089999999e-05,81
80,14.0,8.71539999998e-05,91
90,14.0,9.55969999998e-05,101
100,14.0,0.000103141,111
110,18.0,0.000112197,121
120,18.0,0.000120661,131
130,19.0,0.000130262,141
140,19.0,0.000139138,151
150,19.0,0.000147984,161
160,19.0,0.000157292,171
170,19.0,0.000165169,181
180,19.0,0.000174175,191
190,19.0,0.000184204,201
200,19.0,0.000193849,211
210,19.0,0.000203649,221
220,19.0,0.000217974,231
230,19.0,0.00023146,241
240,19.0,0.000245254,251
250,21.0,0.000259811999999,261
260,21.0,0.000272206,271
270,21.0,0.00028505,281
280,24.0,0.000296777,291
290,25.0,0.000307642,301
300,25.0,0.000318620999999,311
310,25.0,0.000329549999999,321
320,26.0,0.000344440999999,331
330,27.0,0.000356916999999,341
340,27.0,0.000369980999999,351
350,28.0,0.000378328999999,361
360,29.0,0.000387687999999,371
370,30.0,0.000396054999999,381
380,30.0,0.000406078999999,391
390,30.0,0.000417928999999,401
400,30.0,0.000429484999999,411
410,32.0,0.000442349999999,421
420,33.0,0.000453059999999,431
430,33.0,0.000464017999999,441
440,34.0,0.000474252999999,451
450,34.0,0.000486516999999,461
460,34.0,0.000498846999999,471
470,34.0,0.000508811999999,481
480,35.0,0.000520751,491
490,35.0,0.000532095,501
500,35.0,0.000543105,511
510,35.0,0.000555311999999,521
520,35.0,0.000568880999999,531
530,35.0,0.000579636999999,541
540,36.0,0.000594811999999,551
550,36.0,0.000608330999999,561
560,36.0,0.000621189999999,571
570,36.0,0.000631501999999,581
580,36.0,0.000646926999999,591
590,36.0,0.000663094999999,601
600,36.0,0.000675613999999,611
610,36.0,0.000687089999999,621
620,36.0,0.000699093999999,631
630,36.0,0.000710990999999,641
640,36.0,0.000723227999999,651
650,37.0,0.000735554999999,661
660,37.0,0.000747161999999,671
670,44.0,0.000760836999999,681
680,44.0,0.000772017999999,691
690,44.0,0.000785247999999,701
700,44.0,0.000800159999999,711
710,44.0,0.000807855999999,721
720,44.0,0.000818197999999,731
730,44.0,0.000828429999999,741
740,44.0,0.000838241999999,751
750,44.0,0.000846328999999,761
760,45.0,0.000853401999999,771
770,45.0,0.000862734999999,781
780,45.0,0.000872080999999,791
790,45.0,0.000881991999999,801
800,45.0,0.000890621999999,811
810,45.0,0.000898955999999,821
820,46.0,0.000911020999999,831
830,46.0,0.000920244999999,841
840,46.0,0.000927878999999,851
850,46.0,0.000937525999999,861
860,46.0,0.000946474999999,871
870,46.0,0.000955728999999,881
880,46.0,0.000963952999999,891
890,47.0,0.000972139999999,901
900,47.0,0.000981834999999,911
910,47.0,0.000990439999999,921
920,47.0,0.000999384999999,931
930,47.0,0.001009706,941
