iterations,fitness,time,fevals
0,534.0,0.002309384,466
10,519.0,0.00438867199999,832
20,523.0,0.006518773,1192
30,525.0,0.009576767,1559
40,526.0,0.01281875,1923
50,526.0,0.014334193,2286
60,530.0,0.015726655,2649
70,536.0,0.017130007,3021
80,528.0,0.01898311,3392
90,528.0,0.020427154,3761
100,522.0,0.021981804,4118
110,522.0,0.023529638,4490
120,522.0,0.025184337,4859
130,528.0,0.026555214,5230
140,534.0,0.02807906,5597
150,528.0,0.029795931,5956
160,524.0,0.03178214,6324
170,526.0,0.033215795,6689
180,530.0,0.034490225,7059
190,532.0,0.036164349,7416
200,534.0,0.038529124,7785
210,534.0,0.041576989,8152
220,538.0,0.043301173,8527
230,536.0,0.044993875,8894
240,536.0,0.046405004,9262
250,538.0,0.047716651,9632
260,538.0,0.049043681,10003
270,536.0,0.051023143,10374
280,538.0,0.053201356,10742
290,538.0,0.055545857,11107
300,538.0,0.056909797,11469
310,542.0,0.058168358,11840
320,540.0,0.05941719,12213
330,542.0,0.060725365,12579
340,538.0,0.06197739,12945
350,540.0,0.063251967,13314
360,542.0,0.064614824,13687
370,538.0,0.066396114,14054
380,538.0,0.069023275,14420
390,540.0,0.071276682,14774
400,541.0,0.072704996,15138
410,538.0,0.073952751,15502
420,536.0,0.075192291,15856
430,536.0,0.076453099,16223
440,536.0,0.077775936,16585
450,538.0,0.079005524,16951
460,536.0,0.081022542,17311
470,538.0,0.083959416,17686
480,540.0,0.090024356,18052
490,540.0,0.091289753,18415
500,542.0,0.09270733,18780
510,538.0,0.094003495,19149
520,540.0,0.095843287,19516
530,538.0,0.098308041,19879
540,538.0,0.100757073,20253
550,540.0,0.102410393,20616
560,540.0,0.103669646,20980
570,538.0,0.104936082,21345
580,544.0,0.106519387,21713
590,540.0,0.107799928,22083
600,542.0,0.109054578,22444
610,542.0,0.110963735,22817
620,542.0,0.112501667,23182
630,544.0,0.114603704,23541
640,544.0,0.116923356,23907
650,544.0,0.118291823,24284
660,544.0,0.119585908,24658
670,544.0,0.121034107,25028
680,542.0,0.12233857,25404
690,542.0,0.123805118,25773
700,542.0,0.125498055,26140
710,542.0,0.126845478,26515
720,542.0,0.128271178,26883
730,540.0,0.129878726,27247
740,540.0,0.13156823,27610
750,540.0,0.132853107,27983
760,542.0,0.134119918,28354
770,544.0,0.135567682,28721
780,542.0,0.13685973,29090
790,544.0,0.138390166,29455
800,542.0,0.140067532,29820
810,544.0,0.141368351,30190
820,546.0,0.143076459,30563
830,544.0,0.144845811,30931
840,546.0,0.146177168,31297
850,544.0,0.147403254,31666
860,544.0,0.148666732,32031
870,542.0,0.150260497,32401
880,546.0,0.151648416,32771
890,544.0,0.152969546,33137
900,542.0,0.154782691,33501
910,542.0,0.156989983,33865
920,544.0,0.160342802,34235
930,542.0,0.162711429,34611
940,542.0,0.16414426,34982
950,546.0,0.165476508,35357
960,540.0,0.166846794,35724
970,542.0,0.168187317,36078
980,540.0,0.169904916,36445
990,540.0,0.17142176,36805
1000,540.0,0.172790225,37179
1010,542.0,0.174289208,37549
1020,542.0,0.176051091,37911
1030,542.0,0.177835938,38274
1040,542.0,0.179321668,38642
1050,540.0,0.180704978,39014
1060,542.0,0.181971909,39374
1070,542.0,0.183246611,39740
1080,542.0,0.185044687,40104
1090,542.0,0.186566018,40470
1100,544.0,0.188229413,40843
1110,542.0,0.19026327,41222
1120,542.0,0.191894987,41592
1130,542.0,0.193315798,41958
1140,544.0,0.194628769,42333
1150,544.0,0.196015804,42701
1160,540.0,0.197293685,43062
1170,540.0,0.198747691,43427
1180,542.0,0.200312931,43795
1190,544.0,0.201929271,44159
1200,544.0,0.203426137,44517
1210,540.0,0.204770164,44883
1220,538.0,0.206084755,45251
1230,538.0,0.207674196,45613
1240,540.0,0.208942803,45976
1250,540.0,0.210323493,46339
1260,542.0,0.211564241,46708
1270,540.0,0.212833405,47074
1280,540.0,0.214408199,47439
1290,540.0,0.216058865,47800
1300,542.0,0.217851552,48170
1310,542.0,0.219241098,48538
1320,544.0,0.220550224,48906
1330,536.0,0.221794755,49276
1340,538.0,0.223023409,49638
1350,538.0,0.224285831,50010
1360,538.0,0.225569055,50381
1370,538.0,0.226816004,50747
1380,536.0,0.228624405,51119
1390,534.0,0.230982808,51485
1400,532.0,0.233879493,51848
1410,538.0,0.235995457,52213
1420,538.0,0.237341366,52586
1430,536.0,0.238779368,52958
1440,536.0,0.240100619,53324
1450,534.0,0.241478054,53687
1460,536.0,0.243283901,54055
1470,534.0,0.244729181,54416
1480,534.0,0.2461781,54776
1490,534.0,0.247676306,55143
1500,536.0,0.249349365,55514
1510,536.0,0.250761459,55881
1520,534.0,0.252188585,56250
1530,530.0,0.253958129,56612
1540,532.0,0.255337322,56979
1550,532.0,0.256624024,57340
1560,534.0,0.258380335,57702
1570,534.0,0.259983398,58071
1580,534.0,0.261557971,58441
1590,532.0,0.263936352,58806
1600,534.0,0.265321808,59164
1610,534.0,0.266664402,59528
1620,536.0,0.268007238,59901
1630,538.0,0.26945983,60268
1640,536.0,0.270745434,60633
1650,538.0,0.272887029,60999
1660,538.0,0.27520133,61367
1670,538.0,0.277381838,61731
1680,540.0,0.279074636,62104
1690,540.0,0.280750879,62473
1700,540.0,0.282492622,62843
1710,542.0,0.283760395,63207
1720,540.0,0.285268365,63581
1730,542.0,0.286592861,63950
1740,542.0,0.288547614,64314
1750,542.0,0.291069949,64686
1760,537.0,0.292930605,65048
1770,538.0,0.294231453,65419
1780,538.0,0.295483172,65780
1790,538.0,0.29672856,66143
1800,538.0,0.298040887,66518
1810,535.0,0.299362391,66891
1820,532.0,0.300588801,67260
1830,533.0,0.302729081,67627
1840,533.0,0.305472247,67993
1850,535.0,0.308372455,68360
1860,537.0,0.309813322,68723
1870,537.0,0.311104274,69089
1880,536.0,0.312507093,69455
1890,530.0,0.313837911,69824
1900,532.0,0.315514101,70188
1910,534.0,0.317212024,70551
1920,530.0,0.318561383,70918
1930,534.0,0.320149763,71285
1940,534.0,0.321623348,71643
1950,534.0,0.322934568,72005
1960,534.0,0.324178213,72374
1970,534.0,0.325416548,72734
1980,536.0,0.326726921,73099
1990,540.0,0.328311691,73455
2000,542.0,0.329668492,73822
2010,534.0,0.331537101,74188
2020,536.0,0.333883846,74562
2030,536.0,0.336557305,74928
2040,536.0,0.338661223,75293
2050,534.0,0.339930366,75646
2060,534.0,0.341298202,76016
2070,534.0,0.342678074,76377
2080,534.0,0.344081251,76749
2090,536.0,0.345620386,77111
2100,536.0,0.347215066,77475
2110,538.0,0.348549568,77845
2120,538.0,0.350370553,78211
2130,538.0,0.351945785,78583
2140,536.0,0.353309462,78950
2150,536.0,0.356998521,79317
2160,542.0,0.358269394,79681
2170,542.0,0.359899199,80037
2180,542.0,0.361408074,80411
2190,544.0,0.362741567,80780
2200,544.0,0.364260897,81153
2210,544.0,0.366089186,81516
2220,540.0,0.367428023,81882
2230,540.0,0.36867906,82248
2240,542.0,0.370016022,82609
2250,540.0,0.371252399,82974
2260,538.0,0.372497427,83344
2270,538.0,0.373759287,83710
2280,538.0,0.375022847,84082
2290,542.0,0.377568857,84454
2300,540.0,0.380805226,84821
2310,538.0,0.382921164,85187
2320,538.0,0.384538169,85555
2330,536.0,0.386114619,85921
2340,536.0,0.38751543,86288
2350,538.0,0.388929959,86655
2360,536.0,0.390268301,87023
2370,538.0,0.392035434,87388
2380,538.0,0.393397663,87750
2390,538.0,0.394880311,88115
2400,540.0,0.396340642,88476
2410,540.0,0.39774441,88848
2420,540.0,0.398978745,89214
2430,542.0,0.400219057,89576
2440,542.0,0.402169809,89946
2450,544.0,0.40365329,90298
2460,540.0,0.405253536,90669
2470,544.0,0.407652465,91028
2480,542.0,0.40992137,91400
2490,546.0,0.413002733,91775
2500,544.0,0.41432719,92139
2510,548.0,0.415737697,92509
2520,544.0,0.417150133,92879
2530,546.0,0.418546539,93245
2540,548.0,0.42016605,93608
2550,542.0,0.422416942,93971
2560,544.0,0.424611439,94340
2570,542.0,0.426357053,94711
2580,542.0,0.427681408,95077
2590,542.0,0.42894103,95444
2600,544.0,0.43023204,95811
2610,544.0,0.431588918,96179
2620,544.0,0.432931921,96542
2630,544.0,0.4344576,96907
2640,544.0,0.43587295,97267
2650,546.0,0.437337609,97636
2660,544.0,0.439131122,98005
2670,544.0,0.440546474,98382
2680,546.0,0.44185141,98751
2690,548.0,0.443140719,99115
2700,546.0,0.444405863,99484
2710,544.0,0.44575144,99850
2720,544.0,0.447043831,100218
2730,544.0,0.448314109,100584
2740,546.0,0.450221697,100957
2750,546.0,0.452503796,101323
2760,544.0,0.454933048,101695
2770,546.0,0.457095636,102059
2780,548.0,0.458478236,102421
2790,544.0,0.459943388,102782
2800,546.0,0.461348728,103151
2810,544.0,0.462710147,103518
2820,544.0,0.464518346,103881
2830,546.0,0.465899505,104245
2840,542.0,0.467370213,104607
2850,546.0,0.468993176,104973
2860,546.0,0.470499498,105340
2870,544.0,0.471893629,105708
2880,544.0,0.473220701,106075
2890,542.0,0.474869634,106448
2900,540.0,0.476277757,106815
2910,542.0,0.477577866,107184
2920,544.0,0.479623886,107555
2930,542.0,0.482016661,107923
2940,542.0,0.484797489,108296
2950,542.0,0.486758713,108668
2960,540.0,0.488210134,109035
2970,544.0,0.489892444,109403
2980,540.0,0.491197457,109774
2990,540.0,0.492529815,110141
3000,540.0,0.494699341,110509
3010,540.0,0.496863682,110870
3020,542.0,0.498855685,111240
3030,542.0,0.500348972,111606
3040,544.0,0.501600476,111974
3050,542.0,0.50282829,112343
3060,540.0,0.50407744,112711
3070,542.0,0.505342765,113081
3080,542.0,0.506639475,113444
3090,540.0,0.508039454,113807
3100,540.0,0.510187806,114172
3110,540.0,0.512730589,114534
3120,542.0,0.51465629,114898
3130,540.0,0.516264677,115262
3140,540.0,0.517550074,115634
3150,540.0,0.518821784,116005
3160,542.0,0.520063882,116371
3170,540.0,0.521353996,116745
3180,542.0,0.522919749,117105
3190,540.0,0.524621117,117471
3200,540.0,0.526720774,117836
3210,540.0,0.529653338,118195
3220,540.0,0.531233679,118551
3230,540.0,0.532555135,118913
3240,540.0,0.533858471,119279
3250,540.0,0.535234512,119645
3260,542.0,0.536530445,120020
3270,544.0,0.538346433,120391
3280,544.0,0.539807852,120762
3290,542.0,0.541398803,121130
3300,542.0,0.543181656,121498
3310,542.0,0.544737267,121863
3320,544.0,0.546166945,122225
3330,544.0,0.547612719,122590
3340,546.0,0.549194707,122958
3350,544.0,0.550599358,123322
3360,544.0,0.552008971,123694
3370,542.0,0.553735111,124064
3380,544.0,0.555276935,124429
3390,546.0,0.556758191,124797
3400,544.0,0.559213876,125170
3410,548.0,0.560789292,125544
3420,546.0,0.562082763,125912
3430,546.0,0.563460312,126276
3440,546.0,0.565071643,126639
3450,546.0,0.566608926,127011
3460,550.0,0.568073479,127383
3470,548.0,0.569448863,127753
3480,546.0,0.570932748,128125
3490,546.0,0.572306104,128497
3500,548.0,0.573726767,128860
3510,550.0,0.574999299,129231
3520,548.0,0.576264459,129604
3530,548.0,0.577584703,129977
3540,546.0,0.578886921,130342
3550,548.0,0.580174864,130708
3560,552.0,0.581927388,131085
3570,546.0,0.583288136,131448
3580,546.0,0.585075021,131818
3590,546.0,0.58672745,132179
3600,550.0,0.588079272,132549
3610,550.0,0.589393739,132918
3620,550.0,0.59063496,133287
3630,550.0,0.591903526,133655
3640,550.0,0.593375383,134023
3650,552.0,0.594868276,134392
3660,552.0,0.5966294,134756
3670,554.0,0.598787243,135119
3680,554.0,0.601201019,135477
3690,554.0,0.603712176,135843
3700,554.0,0.605397285,136212
3710,556.0,0.606904979,136579
3720,554.0,0.608363167,136951
3730,554.0,0.609668164,137314
3740,556.0,0.611511366,137680
3750,560.0,0.612924429,138042
3760,556.0,0.614343101,138416
3770,556.0,0.615921731,138779
3780,554.0,0.61726591,139154
3790,550.0,0.618505473,139515
3800,552.0,0.620220514,139882
3810,552.0,0.621897279,140245
3820,552.0,0.625693251,140621
3830,550.0,0.627295118,140990
3840,550.0,0.628871355,141355
3850,552.0,0.630562351,141722
3860,552.0,0.632184448,142083
3870,554.0,0.633761354,142447
3880,552.0,0.635071266,142811
3890,552.0,0.63654153,143176
3900,550.0,0.637881563,143545
3910,550.0,0.639236264,143910
3920,550.0,0.64078295,144274
3930,550.0,0.642228258,144636
3940,552.0,0.643756859,145008
3950,550.0,0.645234422,145376
3960,550.0,0.64671982,145738
3970,550.0,0.648029614,146101
3980,552.0,0.649322603,146473
3990,552.0,0.65055679,146841
4000,552.0,0.651985271,147214
4010,552.0,0.653554836,147581
4020,554.0,0.655229933,147953
4030,554.0,0.656554959,148317
4040,554.0,0.657843868,148686
4050,552.0,0.659829911,149057
4060,554.0,0.661137627,149421
4070,554.0,0.662503463,149800
4080,554.0,0.663770619,150163
4090,554.0,0.665021296,150530
4100,552.0,0.66632857,150900
4110,552.0,0.667593387,151269
4120,552.0,0.668865693,151637
4130,552.0,0.670588984,152009
4140,552.0,0.672438359,152375
4150,556.0,0.674233114,152741
4160,552.0,0.676755582,153109
4170,552.0,0.678073585,153481
4180,554.0,0.679503132,153854
4190,554.0,0.680837658,154226
4200,554.0,0.682236956,154591
4210,554.0,0.683677324,154962
4220,556.0,0.685305359,155337
4230,558.0,0.686680222,155702
4240,558.0,0.688083462,156064
4250,556.0,0.689675077,156431
4260,556.0,0.691203362,156799
4270,559.0,0.692513491,157168
4280,556.0,0.693779244,157531
4290,556.0,0.695484668,157894
4300,558.0,0.69722509,158268
4310,558.0,0.698604085,158634
4320,560.0,0.700595628,158999
4330,560.0,0.702147657,159369
4340,560.0,0.70384545,159737
4350,556.0,0.706084691,160099
4360,556.0,0.707936549,160470
4370,562.0,0.709697999,160839
4380,558.0,0.711622373,161209
4390,560.0,0.713363531,161578
4400,560.0,0.71546848,161949
4410,562.0,0.717331588,162317
4420,560.0,0.719126244,162683
4430,560.0,0.72061684,163047
4440,560.0,0.721874053,163412
4450,564.0,0.723985042,163782
4460,558.0,0.725590734,164157
4470,558.0,0.72704273,164526
4480,558.0,0.728376009,164891
4490,556.0,0.729877157,165256
4500,558.0,0.731191729,165622
4510,558.0,0.732933759,165988
4520,560.0,0.734430587,166363
4530,562.0,0.735811195,166730
4540,560.0,0.737095181,167091
4550,560.0,0.738393424,167455
