iterations,fitness,time,fevals
0,546.0,9.135051983,1000
10,600.0,18.974634758,2100
20,624.0,27.503640809,3200
30,648.0,35.563480245,4300
40,688.0,43.023733996,5400
50,717.0,50.031333273,6500
60,730.0,56.706768623,7600
70,738.0,63.433166062,8700
80,742.0,70.063096377,9800
90,760.0,76.731159884,10900
100,762.0,83.318800721,12000
110,762.0,89.87771667,13100
120,771.0,96.279841437,14200
130,770.0,102.604419555,15300
140,774.0,109.055829697,16400
150,774.0,115.273573438,17500
160,774.0,121.461147577,18600
170,777.0,127.639080565,19700
180,770.0,133.898724197,20800
190,776.0,140.149104126,21900
200,782.0,146.321920833,23000
210,780.0,152.418654803,24100
220,778.0,158.476476817,25200
230,780.0,164.806789103,26300
240,776.0,171.230990699,27400
250,772.0,177.594493844,28500
260,774.0,183.860394479,29600
270,780.0,190.015533504,30700
280,776.0,196.217635476,31800
290,778.0,202.323804226,32900
300,774.0,208.464878159,34000
310,784.0,214.653061558,35100
320,774.0,220.992974145,36200
330,774.0,227.327974252,37300
340,776.0,233.783671858,38400
350,774.0,240.157751892,39500
360,782.0,246.617163851,40600
370,778.0,252.935305089,41700
380,780.0,259.337255416,42800
390,774.0,265.362634502,43900
400,778.0,271.627644012,45000
410,770.0,277.841655016,46100
420,772.0,283.976803134,47200
430,778.0,290.178293836,48300
440,782.0,296.499430488,49400
450,778.0,302.842455223,50500
460,784.0,308.995417015,51600
470,778.0,316.593951821,52700
480,774.0,323.941986539,53800
490,778.0,330.952639987,54900
500,776.0,337.4669529,56000
510,776.0,343.855862356,57100
520,778.0,350.204569118,58200
530,780.0,356.402192779,59300
540,784.0,362.654784136,60400
550,790.0,368.518439324,61500
560,782.0,374.611287849,62600
570,784.0,380.597593004,63700
580,784.0,386.584965123,64800
590,784.0,392.612562866,65900
600,784.0,398.554390142,67000
610,784.0,404.726841921,68100
620,784.0,411.422025196,69200
630,782.0,417.573881001,70300
640,786.0,423.802329603,71400
650,782.0,429.681522581,72500
660,786.0,435.653327924,73600
670,778.0,441.736923561,74700
680,788.0,447.735020625,75800
690,782.0,453.684174225,76900
700,784.0,459.68715144,78000
710,790.0,465.554565654,79100
720,784.0,471.342309232,80200
730,780.0,477.221791277,81300
740,784.0,483.419729651,82400
750,782.0,489.452960048,83500
760,786.0,495.077635795,84600
770,786.0,500.342630439,85700
780,780.0,505.910966881,86800
790,786.0,511.954497191,87900
800,786.0,518.066459815,89000
810,786.0,524.451540303,90100
820,788.0,531.06023644,91200
830,784.0,537.429222955,92300
840,787.0,543.739295922,93400
850,790.0,549.880770201,94500
860,784.0,556.152284252,95600
870,788.0,562.351504935,96700
880,788.0,568.376087037,97800
890,784.0,574.423897602,98900
900,786.0,580.513221522,100000
910,788.0,586.462304646,101100
920,790.0,592.452887238,102200
930,796.0,598.411043745,103300
940,784.0,604.455454061,104400
950,788.0,610.412872988,105500
960,786.0,616.403500735,106600
970,794.0,622.40537917,107700
980,792.0,628.341719149,108800
990,786.0,634.224872712,109900
1000,796.0,640.087361037,111000
1010,788.0,646.156964199,112100
1020,784.0,652.23426218,113200
1030,788.0,658.034758218,114300
1040,798.0,664.193763695,115400
1050,792.0,670.432394534,116500
1060,790.0,676.492786097,117600
1070,786.0,682.770285521,118700
1080,792.0,689.093393352,119800
1090,790.0,695.277804085,120900
1100,788.0,701.392012777,122000
1110,798.0,708.114822707,123100
1120,792.0,714.50848479,124200
1130,792.0,720.723979189,125300
1140,794.0,726.898054049,126400
1150,792.0,733.307840268,127500
1160,794.0,740.179691561,128600
1170,792.0,746.730868803,129700
1180,794.0,753.354659145,130800
1190,794.0,759.781216421,131900
1200,786.0,765.832276715,133000
1210,794.0,771.161022542,134100
1220,794.0,776.581929575,135200
1230,788.0,782.237651579,136300
1240,794.0,788.608991478,137400
1250,792.0,794.62835225,138500
1260,798.0,800.829047386,139600
1270,792.0,807.093877888,140700
1280,792.0,813.822129625,141800
1290,790.0,820.152529388,142900
1300,794.0,827.308271199,144000
1310,796.0,833.628592484,145100
1320,796.0,839.716286247,146200
1330,798.0,845.6546564,147300
1340,794.0,851.817344258,148400
1350,796.0,858.651667954,149500
1360,792.0,865.31073902,150600
1370,800.0,871.463501274,151700
1380,790.0,877.608867571,152800
1390,794.0,884.121878744,153900
1400,800.0,890.276870692,155000
1410,794.0,896.479787163,156100
1420,798.0,902.558544313,157200
1430,794.0,908.696965426,158300
1440,794.0,914.877500493,159400
1450,798.0,921.053566085,160500
1460,800.0,927.023056998,161600
1470,796.0,933.177699515,162700
1480,792.0,939.849673357,163800
1490,802.0,946.640475316,164900
1500,798.0,952.822218002,166000
1510,794.0,960.22929055,167100
1520,798.0,966.309248762,168200
1530,794.0,974.300775157,169300
1540,790.0,981.649470289,170400
1550,796.0,988.122397041,171500
1560,798.0,994.428420125,172600
1570,800.0,1000.63319753,173700
1580,794.0,1006.90353052,174800
1590,794.0,1013.28652801,175900
1600,794.0,1019.97986122,177000
1610,796.0,1026.44714079,178100
1620,798.0,1032.6354273,179200
1630,798.0,1038.90648202,180300
1640,802.0,1045.28244998,181400
1650,796.0,1051.58092298,182500
1660,796.0,1058.15253055,183600
1670,788.0,1064.567294,184700
1680,792.0,1071.03773639,185800
1690,800.0,1077.32934014,186900
1700,796.0,1083.62739582,188000
1710,802.0,1089.85400412,189100
1720,796.0,1096.01978882,190200
1730,804.0,1102.34425384,191300
1740,802.0,1108.8130716,192400
1750,796.0,1115.18091093,193500
1760,800.0,1121.44427553,194600
1770,796.0,1127.57064966,195700
1780,808.0,1133.9234876,196800
1790,800.0,1140.24390916,197900
1800,802.0,1146.4693112,199000
1810,804.0,1152.99602901,200100
1820,804.0,1159.25658041,201200
1830,802.0,1165.27739625,202300
1840,802.0,1171.20571348,203400
1850,802.0,1177.31907562,204500
1860,802.0,1183.9988595,205600
1870,798.0,1190.63683069,206700
1880,806.0,1196.92422566,207800
1890,802.0,1203.30308344,208900
1900,800.0,1210.1245587,210000
1910,802.0,1218.31559885,211100
1920,802.0,1225.12661028,212200
1930,802.0,1232.05932102,213300
1940,802.0,1238.39288962,214400
1950,798.0,1244.64824371,215500
1960,806.0,1251.40165459,216600
1970,804.0,1257.63757863,217700
1980,808.0,1263.85617282,218800
1990,802.0,1269.95827716,219900
2000,802.0,1276.10286475,221000
2010,802.0,1282.72913885,222100
2020,806.0,1288.91406584,223200
2030,806.0,1295.22205775,224300
2040,806.0,1301.20413197,225400
2050,804.0,1307.79262967,226500
2060,802.0,1314.04518979,227600
2070,806.0,1320.59518815,228700
2080,808.0,1326.73727,229800
2090,806.0,1333.46305088,230900
2100,804.0,1339.40935226,232000
2110,800.0,1345.26782087,233100
2120,804.0,1351.20062378,234200
2130,800.0,1357.10735927,235300
2140,804.0,1362.89032535,236400
2150,808.0,1369.38010854,237500
2160,804.0,1375.87173885,238600
2170,804.0,1381.67272325,239700
2180,796.0,1387.5957493,240800
2190,802.0,1393.47385405,241900
2200,802.0,1399.3414524,243000
2210,796.0,1405.38325778,244100
2220,804.0,1411.50335855,245200
2230,804.0,1417.36155993,246300
2240,808.0,1423.19938645,247400
2250,808.0,1429.26597201,248500
2260,806.0,1435.13710346,249600
2270,804.0,1441.48047772,250700
2280,812.0,1447.62412998,251800
2290,804.0,1453.6265738,252900
2300,802.0,1459.59316431,254000
2310,804.0,1465.4790549,255100
2320,806.0,1471.56992366,256200
2330,808.0,1477.40164351,257300
2340,806.0,1483.41800753,258400
2350,800.0,1489.29560427,259500
2360,804.0,1495.20122122,260600
2370,804.0,1501.04318815,261700
2380,808.0,1506.93290848,262800
2390,808.0,1512.84225324,263900
2400,808.0,1518.72782305,265000
2410,810.0,1524.63425723,266100
2420,814.0,1530.50916096,267200
2430,810.0,1536.4273229,268300
2440,808.0,1542.49225496,269400
2450,804.0,1548.41762954,270500
2460,808.0,1554.27679023,271600
2470,810.0,1560.23847454,272700
2480,806.0,1566.01830228,273800
2490,814.0,1571.81580687,274900
2500,806.0,1577.66113972,276000
2510,806.0,1583.51701281,277100
2520,808.0,1589.49374015,278200
2530,816.0,1595.45758919,279300
2540,812.0,1601.33205424,280400
2550,806.0,1607.32142048,281500
2560,804.0,1613.1376685,282600
2570,812.0,1618.99010178,283700
2580,815.0,1624.80308969,284800
