iterations,fitness,time,fevals
0,492.0,4.8e-05,11
10,494.0,7.8488e-05,21
20,494.0,0.000103026,31
30,498.0,0.000127607,41
40,502.0,0.000152034,51
50,502.0,0.000177068,61
60,504.0,0.000200694,71
70,508.0,0.000225166,81
80,508.0,0.000249093,91
90,514.0,0.000275262,101
100,518.0,0.000300579,111
110,524.0,0.000323775,121
120,530.0,0.000348187,131
130,536.0,0.000374498,141
140,536.0,0.000398852,151
150,536.0,0.000423539,161
160,538.0,0.000450394,171
170,540.0,0.000474944,181
180,546.0,0.000501883,191
190,548.0,0.00052768,201
200,552.0,0.000552995,211
210,554.0,0.000578848,221
220,556.0,0.000604889,231
230,558.0,0.000627813,241
240,558.0,0.000650292,251
250,558.0,0.000672104,261
260,562.0,0.000704295,271
270,562.0,0.000727522,281
280,564.0,0.000753606,291
290,564.0,0.000778172,301
300,570.0,0.000805475,311
310,574.0,0.000829429,321
320,574.0,0.000854924,331
330,574.0,0.000879457,341
340,578.0,0.000904801,351
350,580.0,0.000929298,361
360,584.0,0.000954537,371
370,584.0,0.000978496,381
380,586.0,0.001005843,391
390,588.0,0.001032798,401
400,592.0,0.001062127,411
410,592.0,0.001088664,421
420,594.0,0.001116569,431
430,594.0,0.001144189,441
440,596.0,0.001168383,451
450,598.0,0.00119231,461
460,598.0,0.001218646,471
470,602.0,0.001242296,481
480,606.0,0.001264459,491
490,606.0,0.001287711,501
500,606.0,0.00131323,511
510,606.0,0.001336774,521
520,606.0,0.001360752,531
530,608.0,0.00138424,541
540,608.0,0.001412437,551
550,608.0,0.001434157,561
560,610.0,0.00145757,571
570,614.0,0.001481839,581
580,614.0,0.001504609,591
590,616.0,0.001529959,601
600,618.0,0.001553585,611
610,618.0,0.001578787,621
620,618.0,0.001607249,631
630,624.0,0.001631258,641
640,624.0,0.001653896,651
650,624.0,0.001673609,661
660,624.0,0.001695677,671
670,626.0,0.001733207,681
680,628.0,0.001759367,691
690,628.0,0.001784043,701
700,628.0,0.001806518,711
710,630.0,0.001834374,721
720,632.0,0.00185808,731
730,632.0,0.001881459,741
740,634.0,0.001906396,751
750,634.0,0.001929415,761
760,638.0,0.001954366,771
770,638.0,0.001980746,781
780,638.0,0.002015887,791
790,638.0,0.002041732,801
800,638.0,0.002067745,811
810,640.0,0.002092894,821
820,640.0,0.002118289,831
830,640.0,0.002142039,841
840,642.0,0.002166166,851
850,644.0,0.002190813,861
860,648.0,0.00221914,871
870,648.0,0.002245278,881
880,648.0,0.00226989,891
890,648.0,0.002297616,901
900,648.0,0.002323816,911
910,650.0,0.002349178,921
920,652.0,0.002376689,931
930,654.0,0.002409282,941
940,656.0,0.002444008,951
950,656.0,0.002469315,961
960,658.0,0.002497445,971
970,660.0,0.002526706,981
980,662.0,0.002558496,991
990,664.0,0.002587228,1001
1000,666.0,0.002611997,1011
1010,666.0,0.002635993,1021
1020,666.0,0.002659887,1031
1030,666.0,0.002682829,1041
1040,666.0,0.002706703,1051
1050,666.0,0.00273848,1061
1060,666.0,0.002759759,1071
1070,668.0,0.002782201,1081
1080,668.0,0.002802906,1091
1090,668.0,0.002825656,1101
1100,668.0,0.002850178,1111
1110,670.0,0.002874691,1121
1120,674.0,0.002898219,1131
1130,676.0,0.002922225,1141
1140,676.0,0.002943852,1151
1150,676.0,0.002966248,1161
1160,676.0,0.002988798,1171
1170,676.0,0.00301224,1181
1180,678.0,0.003035717,1191
1190,678.0,0.003057292,1201
1200,678.0,0.003078663,1211
1210,680.0,0.003100647,1221
1220,682.0,0.00312289,1231
1230,686.0,0.003145247,1241
1240,688.0,0.00316909,1251
1250,690.0,0.003194998,1261
1260,690.0,0.00321858,1271
1270,692.0,0.003243291,1281
1280,694.0,0.003267901,1291
1290,694.0,0.003292788,1301
1300,694.0,0.003316656,1311
1310,694.0,0.003338435,1321
1320,696.0,0.003359682,1331
1330,696.0,0.003382024,1341
1340,696.0,0.003403763,1351
1350,696.0,0.003425224,1361
1360,696.0,0.003447964,1371
1370,698.0,0.003472352,1381
1380,698.0,0.003497631,1391
1390,700.0,0.003520208,1401
1400,704.0,0.003543713,1411
1410,706.0,0.003566787,1421
1420,706.0,0.003590573,1431
1430,708.0,0.003613472,1441
1440,712.0,0.00363725,1451
1450,714.0,0.003665889,1461
1460,714.0,0.003690581,1471
1470,714.0,0.003714177,1481
1480,714.0,0.003736526,1491
1490,714.0,0.003763589,1501
1500,714.0,0.003785129,1511
1510,716.0,0.003807114,1521
1520,716.0,0.003829708,1531
1530,716.0,0.003849802,1541
1540,716.0,0.003871944,1551
1550,716.0,0.00389233,1561
1560,716.0,0.00391403,1571
1570,718.0,0.003936622,1581
1580,720.0,0.003960549,1591
1590,720.0,0.003982501,1601
1600,720.0,0.004004564,1611
1610,720.0,0.004027151,1621
1620,720.0,0.004050454,1631
1630,720.0,0.004073173,1641
1640,722.0,0.004097218,1651
1650,722.0,0.004120714,1661
1660,724.0,0.004144084,1671
1670,724.0,0.004169301,1681
1680,724.0,0.004192779,1691
1690,724.0,0.004217696,1701
1700,724.0,0.004241136,1711
1710,724.0,0.004264106,1721
1720,724.0,0.00428786,1731
1730,724.0,0.004314918,1741
1740,724.0,0.004338314,1751
1750,726.0,0.004362424,1761
1760,726.0,0.004385208,1771
1770,726.0,0.00440678,1781
1780,726.0,0.004428027,1791
1790,726.0,0.004449778,1801
1800,726.0,0.004471499,1811
1810,726.0,0.004492859,1821
1820,728.0,0.004515533,1831
1830,728.0,0.00453791,1841
1840,728.0,0.004560637,1851
1850,730.0,0.004582995,1861
1860,730.0,0.004606328,1871
1870,730.0,0.004629263,1881
1880,732.0,0.004651745,1891
1890,732.0,0.004674757,1901
1900,734.0,0.004697466,1911
1910,734.0,0.004721213,1921
1920,734.0,0.004743401,1931
1930,734.0,0.004765833,1941
1940,734.0,0.004788508,1951
1950,736.0,0.004810734,1961
1960,736.0,0.004833992,1971
1970,736.0,0.004857055,1981
1980,736.0,0.004879927,1991
1990,736.0,0.004902573,2001
2000,736.0,0.004925902,2011
2010,736.0,0.004950118,2021
2020,736.0,0.004972518,2031
2030,736.0,0.004995027,2041
2040,736.0,0.005017089,2051
2050,736.0,0.00503966,2061
2060,740.0,0.005062506,2071
2070,742.0,0.005085168,2081
2080,742.0,0.005108722,2091
2090,744.0,0.0051324,2101
2100,744.0,0.005156964,2111
2110,744.0,0.005180248,2121
2120,746.0,0.005203381,2131
2130,746.0,0.005225881,2141
2140,746.0,0.005249151,2151
2150,746.0,0.005271814,2161
2160,746.0,0.005294186,2171
2170,746.0,0.00531638,2181
2180,746.0,0.005339078,2191
2190,746.0,0.005362077,2201
2200,746.0,0.005389566,2211
2210,746.0,0.00541268,2221
2220,748.0,0.005435858,2231
2230,748.0,0.005460411,2241
2240,748.0,0.005483331,2251
2250,750.0,0.005505853,2261
2260,750.0,0.005528353,2271
2270,750.0,0.005551077,2281
2280,750.0,0.005573103,2291
2290,750.0,0.005596724,2301
2300,750.0,0.005621311,2311
2310,750.0,0.005646672,2321
2320,750.0,0.005669477,2331
2330,750.0,0.005693394,2341
2340,750.0,0.005717607,2351
2350,750.0,0.005743727,2361
2360,750.0,0.005769337,2371
2370,750.0,0.005792478,2381
2380,750.0,0.005815476,2391
2390,750.0,0.005838507,2401
2400,750.0,0.005862715,2411
2410,750.0,0.005885317,2421
2420,750.0,0.005907753,2431
2430,750.0,0.00592989,2441
2440,750.0,0.005957883,2451
2450,750.0,0.005981509,2461
2460,750.0,0.006006125,2471
2470,750.0,0.00602978,2481
2480,750.0,0.006052874,2491
2490,750.0,0.006076216,2501
2500,750.0,0.006100156,2511
2510,750.0,0.006123178,2521
2520,750.0,0.00614731,2531
2530,750.0,0.006170158,2541
2540,750.0,0.006193096,2551
2550,750.0,0.006214586,2561
2560,750.0,0.00623635,2571
2570,752.0,0.006258474,2581
2580,752.0,0.006280383,2591
2590,752.0,0.006302074,2601
2600,752.0,0.006324136,2611
2610,752.0,0.006344765,2621
2620,752.0,0.006367464,2631
2630,752.0,0.006390073,2641
2640,752.0,0.006412721,2651
2650,754.0,0.006434824,2661
2660,754.0,0.006457208,2671
2670,754.0,0.006479191,2681
2680,754.0,0.006504136,2691
2690,754.0,0.006526355,2701
2700,754.0,0.006549989,2711
2710,754.0,0.006574441,2721
2720,754.0,0.006599398,2731
2730,754.0,0.006622545,2741
2740,754.0,0.006647657,2751
2750,754.0,0.006672527,2761
2760,754.0,0.006701177,2771
2770,756.0,0.006727142,2781
2780,756.0,0.006751094,2791
2790,756.0,0.006775701,2801
2800,756.0,0.006800342,2811
2810,756.0,0.006824924,2821
2820,756.0,0.006847533,2831
2830,756.0,0.006870912,2841
2840,756.0,0.006895888,2851
2850,756.0,0.006921531,2861
2860,756.0,0.006945919,2871
2870,756.0,0.006970244,2881
2880,756.0,0.006994814,2891
2890,756.0,0.007021368,2901
