iterations,fitness,time,fevals
0,500.0,3.5373e-05,11
10,498.0,5.88880000001e-05,21
20,496.0,8.29640000002e-05,31
30,498.0,0.000105748,41
40,502.0,0.000128616,51
50,502.0,0.000151554,61
60,502.0,0.000173155,71
70,504.0,0.000195546,81
80,506.0,0.000219728,91
90,506.0,0.000243738,101
100,510.0,0.000267414,111
110,518.0,0.000289936,121
120,518.0,0.000312158,131
130,518.0,0.000334414,141
140,522.0,0.000356575,151
150,524.0,0.000378621,161
160,526.0,0.000401373,171
170,526.0,0.000422615,181
180,528.0,0.000444822,191
190,530.0,0.000466851,201
200,534.0,0.00048573,211
210,538.0,0.000505651,221
220,540.0,0.000526466,231
230,542.0,0.000547954,241
240,546.0,0.000569635,251
250,550.0,0.000591567,261
260,552.0,0.000613564,271
270,556.0,0.00063557,281
280,556.0,0.000657314,291
290,560.0,0.000680014,301
300,560.0,0.000703919,311
310,564.0,0.000726458,321
320,570.0,0.000748765,331
330,574.0,0.000771233,341
340,576.0,0.000793828,351
350,576.0,0.000816796,361
360,576.0,0.000838455,371
370,580.0,0.000860598,381
380,580.0,0.000883843,391
390,580.0,0.000907243,401
400,586.0,0.000931354,411
410,588.0,0.000953405,421
420,590.0,0.00097708,431
430,594.0,0.001001742,441
440,596.0,0.001023864,451
450,598.0,0.001045299,461
460,598.0,0.001064646,471
470,600.0,0.00108738,481
480,600.0,0.001107204,491
490,602.0,0.001128131,501
500,602.0,0.001150926,511
510,606.0,0.001173056,521
520,606.0,0.001192818,531
530,606.0,0.001213862,541
540,606.0,0.001234997,551
550,610.0,0.00125849,561
560,610.0,0.001280922,571
570,610.0,0.001303229,581
580,614.0,0.00132316,591
590,614.0,0.001343519,601
600,618.0,0.001365587,611
610,618.0,0.001386654,621
620,620.0,0.001410848,631
630,622.0,0.001432703,641
640,622.0,0.001455495,651
650,622.0,0.001480729,661
660,622.0,0.00150231,671
670,622.0,0.001522331,681
680,622.0,0.001542013,691
690,622.0,0.001567208,701
700,622.0,0.001587665,711
710,622.0,0.001608633,721
720,624.0,0.00163419,731
730,628.0,0.001660749,741
740,630.0,0.001689239,751
