k,GMM,Kmeans
2,0.7118451025056948,0.7118451025056948
3,0.7164009111617312,0.7118451025056948
4,0.7186788154897494,0.7232346241457859
5,0.7266514806378133,0.7255125284738041
6,0.7460136674259681,0.7494305239179955
7,0.7471526195899773,0.7505694760820045
8,0.7482915717539863,0.7539863325740319
9,0.7391799544419134,0.744874715261959
10,0.7391799544419134,0.7471526195899773
15,0.7528473804100227,0.7471526195899773
20,0.755125284738041,0.7505694760820045
25,0.7562642369020501,0.7585421412300684
30,0.7608200455580866,0.7574031890660592
35,0.7699316628701595,0.7619589977220956
40,0.7733485193621867,0.7608200455580866
