k,GMM,Kmeans
2,0.03252910174502733,0.0022296133818287167
3,0.024897397207478515,0.002643345660480898
4,0.026120827180175492,0.01966482076139353
5,0.02816864907669411,0.01861875725549926
6,0.036924570273214836,0.04390766469325924
7,0.03675712564846265,0.03877855620267357
8,0.030936649390076527,0.034533389757935434
9,0.025494740319924148,0.03427605643529337
10,0.026572202115740563,0.027358021187968623
15,0.03412969943617647,0.029929295823816853
20,0.030696711664441427,0.02951070487066828
25,0.03095720865481272,0.02692272705183628
30,0.02895394580531709,0.02836419335192337
35,0.03007740580806794,0.023717243538574507
40,0.02584845483351856,0.029883807752017075
