k,type,score,label
2,Kmeans,0.803668,0
2,Kmeans,0.812057,0
2,Kmeans,0.470828,0
2,Kmeans,0.807945,0
2,Kmeans,0.786309,0
2,Kmeans,0.234021,0
2,Kmeans,0.562729,0
2,Kmeans,0.801904,0
2,Kmeans,0.562511,0
2,Kmeans,0.715407,0
2,Kmeans,0.2813,1
2,Kmeans,0.807802,0
2,Kmeans,0.816349,0
2,Kmeans,0.797376,0
2,Kmeans,0.708205,0
2,Kmeans,0.765073,0
2,Kmeans,0.792529,0
2,Kmeans,0.790339,0
2,Kmeans,0.765647,0
2,Kmeans,0.793949,0
2,Kmeans,0.814601,0
2,Kmeans,0.74948,0
2,Kmeans,0.18435,1
2,Kmeans,0.737521,0
2,Kmeans,0.787986,0
2,Kmeans,0.812889,0
2,Kmeans,0.80197,0
2,Kmeans,0.795191,0
2,Kmeans,0.814366,0
2,Kmeans,0.816352,0
2,Kmeans,0.812588,0
2,Kmeans,0.79444,0
2,Kmeans,0.601011,0
2,Kmeans,0.07055,1
2,Kmeans,0.813146,0
2,Kmeans,0.069042,1
2,Kmeans,0.38672,0
2,Kmeans,0.80929,0
2,Kmeans,0.743057,0
2,Kmeans,0.791608,0
2,Kmeans,0.809297,0
2,Kmeans,0.790994,0
2,Kmeans,0.407049,1
2,Kmeans,0.581655,0
2,Kmeans,0.757031,0
2,Kmeans,0.81292,0
2,Kmeans,0.058084,0
2,Kmeans,0.78537,0
2,Kmeans,0.679799,0
2,Kmeans,0.808615,0
2,Kmeans,0.714797,0
2,Kmeans,0.795938,0
2,Kmeans,0.815328,0
2,Kmeans,0.771591,0
2,Kmeans,0.809112,0
2,Kmeans,0.808904,0
2,Kmeans,0.804247,0
2,Kmeans,0.55057,0
2,Kmeans,0.800936,0
2,Kmeans,0.74391,0
2,Kmeans,0.214085,0
2,Kmeans,0.740723,0
2,Kmeans,0.780469,0
2,Kmeans,0.80121,0
2,Kmeans,0.500374,0
2,Kmeans,0.807633,0
2,Kmeans,0.501804,0
2,Kmeans,0.809246,0
2,Kmeans,0.732217,0
2,Kmeans,0.590673,0
2,Kmeans,0.714228,0
2,Kmeans,0.800914,0
2,Kmeans,0.594437,0
2,Kmeans,0.726904,0
2,Kmeans,0.800006,0
2,Kmeans,0.795647,0
2,Kmeans,0.808635,0
2,Kmeans,0.17028,1
2,Kmeans,0.524068,0
2,Kmeans,0.70098,0
2,Kmeans,0.680059,0
2,Kmeans,0.73347,0
2,Kmeans,0.812657,0
2,Kmeans,0.810836,0
2,Kmeans,0.439239,0
2,Kmeans,0.780882,0
2,Kmeans,0.812593,0
2,Kmeans,0.790942,0
2,Kmeans,0.549695,0
2,Kmeans,-0.121953,1
2,Kmeans,0.809519,0
2,Kmeans,0.261237,0
2,Kmeans,0.731306,0
2,Kmeans,0.758591,0
2,Kmeans,0.805425,0
2,Kmeans,0.814585,0
2,Kmeans,0.761676,0
2,Kmeans,0.808999,0
2,Kmeans,0.79204,0
2,Kmeans,0.804808,0
2,Kmeans,0.808887,0
2,Kmeans,0.562356,0
2,Kmeans,0.783859,0
2,Kmeans,0.811153,0
2,Kmeans,0.763187,0
2,Kmeans,0.77691,0
2,Kmeans,0.733911,0
2,Kmeans,0.710424,0
2,Kmeans,0.43556,1
2,Kmeans,0.714374,0
2,Kmeans,0.776772,0
2,Kmeans,0.635105,0
2,Kmeans,0.789147,0
2,Kmeans,0.79974,0
2,Kmeans,0.804108,0
2,Kmeans,0.80634,0
2,Kmeans,0.792329,0
2,Kmeans,0.806191,0
2,Kmeans,0.765975,0
2,Kmeans,0.131378,0
2,Kmeans,0.7831,0
2,Kmeans,0.788635,0
2,Kmeans,0.681881,0
2,Kmeans,0.756006,0
2,Kmeans,0.785559,0
2,Kmeans,0.797428,0
2,Kmeans,0.812168,0
2,Kmeans,0.72317,0
2,Kmeans,0.184086,1
2,Kmeans,0.788805,0
2,Kmeans,0.803199,0
2,Kmeans,0.808701,0
2,Kmeans,0.812959,0
2,Kmeans,0.782293,0
2,Kmeans,0.346295,1
2,Kmeans,0.811544,0
2,Kmeans,0.769285,0
2,Kmeans,0.043238,0
2,Kmeans,0.702262,0
2,Kmeans,0.769765,0
2,Kmeans,0.713145,0
2,Kmeans,0.801564,0
2,Kmeans,0.776502,0
2,Kmeans,0.418151,1
2,Kmeans,0.473181,0
2,Kmeans,0.767924,0
2,Kmeans,0.808936,0
2,Kmeans,0.803027,0
2,Kmeans,0.810687,0
2,Kmeans,0.653679,0
2,Kmeans,0.534838,0
2,Kmeans,0.514811,0
2,Kmeans,0.791013,0
2,Kmeans,0.807494,0
2,Kmeans,0.337866,0
2,Kmeans,0.533818,0
2,Kmeans,0.784989,0
2,Kmeans,0.776819,0
