k,GMM,Kmeans
2,0.5590749719497754,0.6818785073809309
3,0.4611366982991285,0.7063166659971034
4,0.4341881199957847,0.7153737471557635
5,0.4225013006837297,0.5702461699682606
6,0.35464510559035894,0.5739601500385753
7,0.34417792783298135,0.4640305331341158
8,0.3307542727866186,0.38857118139297503
9,0.33573610721622615,0.3864502370594718
10,0.3272888450671975,0.3702288485421278
15,0.31588638287121645,0.32882612361467284
20,0.34198691000254133,0.2958530654800996
25,0.3034962357095859,0.3067896883480537
30,0.21938549418635045,0.29843239778784153
35,0.2667018054051931,0.272162185917354
40,0.24166494005330616,0.29570531987772164
