k,GMM,Kmeans
2,0.6262471220260937,0.6262471220260937
3,0.6504221028396009,0.6262471220260937
4,0.6485034535686877,0.6611665387567153
5,0.6488871834228703,0.6573292402148887
6,0.6431312356101304,0.6603990790483499
7,0.6603990790483499,0.6623177283192633
8,0.6615502686108979,0.6619339984650806
9,0.670376055257099,0.6638526477359938
10,0.6999232540291634,0.6676899462778204
15,0.7052954719877207,0.6884113584036838
20,0.6941673062164236,0.6987720644666156
25,0.6972371450498849,0.7060629316960859
30,0.6999232540291634,0.6957022256331543
35,0.7125863392171911,0.7068303914044513
40,0.7052954719877207,0.7052954719877207
