k,GMM,Kmeans
2,0.020804054744999693,0.01025739353191465
3,0.024463976936753753,0.01653968148035473
4,0.026363746437259108,0.02714494075077421
5,0.030039363968884583,0.03185146819713017
6,0.02946927387578055,0.02797634380936286
7,0.03198354825205443,0.037020602430243285
8,0.03520302607218977,0.032309594157918335
9,0.03792057846905833,0.03656483205342978
10,0.03838317710919663,0.03892948515016893
15,0.03667792543260415,0.0347714991767355
20,0.03204257295038687,0.032127393506731335
25,0.02674827892525916,0.030110844707606374
30,0.026858038339850863,0.027887252118772826
35,0.028503959823949588,0.03027938395149496
40,0.024129037377009544,0.028723382611156024
