k,type,score,label
2,Kmeans,0.223558,0
2,Kmeans,0.28449,0
2,Kmeans,0.34373,0
2,Kmeans,0.148693,0
2,Kmeans,0.370396,0
2,Kmeans,0.067667,1
2,Kmeans,0.253097,0
2,Kmeans,0.271896,0
2,Kmeans,0.185017,1
2,Kmeans,0.33852,0
2,Kmeans,0.201767,0
2,Kmeans,0.302972,0
2,Kmeans,0.05086,0
2,Kmeans,0.277104,0
2,Kmeans,0.218733,1
2,Kmeans,0.306861,0
2,Kmeans,0.203062,0
2,Kmeans,0.233216,1
2,Kmeans,0.336214,0
2,Kmeans,0.271899,0
2,Kmeans,0.204836,1
2,Kmeans,0.260357,0
2,Kmeans,0.299018,0
2,Kmeans,0.206654,0
2,Kmeans,0.257922,0
2,Kmeans,0.27703,0
2,Kmeans,0.181463,0
2,Kmeans,0.303699,0
2,Kmeans,0.173917,1
2,Kmeans,0.099521,1
2,Kmeans,0.141149,0
2,Kmeans,0.32023,0
2,Kmeans,0.322247,0
2,Kmeans,-0.042157,1
2,Kmeans,0.044645,1
2,Kmeans,0.195563,0
2,Kmeans,0.23566,0
2,Kmeans,0.229329,0
2,Kmeans,0.216517,0
2,Kmeans,0.167549,0
2,Kmeans,0.176658,0
2,Kmeans,0.148697,0
2,Kmeans,0.312252,0
2,Kmeans,0.127681,0
2,Kmeans,0.20584,0
2,Kmeans,0.342071,0
2,Kmeans,0.205123,0
2,Kmeans,0.171026,1
2,Kmeans,0.303775,0
2,Kmeans,0.154464,1
2,Kmeans,0.26783,0
2,Kmeans,0.188322,1
2,Kmeans,0.201481,1
2,Kmeans,0.26905,0
2,Kmeans,0.047981,1
2,Kmeans,0.101927,1
2,Kmeans,0.229079,1
2,Kmeans,0.172644,0
2,Kmeans,0.035054,1
2,Kmeans,0.177495,1
2,Kmeans,0.359127,0
2,Kmeans,0.296084,0
2,Kmeans,0.186305,0
2,Kmeans,0.243586,0
2,Kmeans,0.192621,0
2,Kmeans,0.182348,1
2,Kmeans,0.054391,1
2,Kmeans,0.274084,0
2,Kmeans,0.225393,0
2,Kmeans,0.025061,1
2,Kmeans,0.216305,1
2,Kmeans,0.31566,0
2,Kmeans,0.232385,0
2,Kmeans,0.32137,0
2,Kmeans,0.1905,1
2,Kmeans,0.277701,0
2,Kmeans,-0.019475,1
2,Kmeans,0.280354,0
2,Kmeans,0.224846,0
2,Kmeans,0.29054,0
