k,GMM,Kmeans
2,0.21434236338640786,0.22406982724446334
3,0.21116225910879693,0.18381637241425458
4,0.17823637166868228,0.21514539725684526
5,0.17252412689005941,0.20994241155781201
6,0.12882311054230305,0.21833942854751578
7,0.1604311020434761,0.210285782980484
8,0.13814656201446238,0.20200779524662324
9,0.11250153197417313,0.19200522293974676
10,0.1039430859315811,0.17757237895068126
15,0.10218342141414567,0.16606546342646183
20,0.08680201032770193,0.16426589716391393
25,0.06438775196479186,0.1591052305539281
30,0.06426813548865554,0.15456100785440638
35,0.0511887994151416,0.15838041938206643
40,0.058075442468632284,0.15565574168708352
