k,GMM,Kmeans
2,0.7118451025056948,0.7118451025056948
3,0.714123006833713,0.7482915717539863
4,0.7380410022779044,0.7460136674259681
5,0.7437357630979499,0.734624145785877
6,0.7482915717539863,0.7733485193621867
7,0.7619589977220956,0.7687927107061503
8,0.7562642369020501,0.7710706150341685
9,0.7494305239179955,0.7767653758542141
10,0.7539863325740319,0.7665148063781321
15,0.7562642369020501,0.7699316628701595
20,0.7722095671981777,0.7835990888382688
25,0.7710706150341685,0.7813211845102506
30,0.7608200455580866,0.7790432801822323
35,0.7790432801822323,0.785876993166287
40,0.7927107061503417,0.785876993166287
