k,GMM,Kmeans
2,0.028707235559275682,-0.0008848862516743175
3,0.0330230110183954,0.06561797843734797
4,0.03906045092911421,0.05478125371320245
5,0.028223744494111275,0.021299287586118452
6,0.03286526547027796,0.05169157904018691
7,0.03703162571088226,0.045899979324551705
8,0.03937134328349624,0.045936740553046536
9,0.03607852797217637,0.05499158966935417
10,0.03700969387182696,0.03784657284841141
15,0.03666255162478206,0.03604608058609589
20,0.040814263573032264,0.04604892616066847
25,0.040802557491433016,0.03572495036867714
30,0.039031413427391,0.04263903487000486
35,0.0390356351867398,0.03755548218643055
40,0.04172231536463739,0.03658795609953273
