k,type,score,label
2,Kmeans,0.802681,0
2,Kmeans,0.881945,0
2,Kmeans,0.888484,0
2,Kmeans,0.877911,0
2,Kmeans,0.883334,0
2,Kmeans,0.857887,0
2,Kmeans,0.854064,0
2,Kmeans,0.84341,0
2,Kmeans,0.885951,0
2,Kmeans,0.703583,0
2,Kmeans,0.784627,0
2,Kmeans,0.87343,0
2,Kmeans,0.791933,0
2,Kmeans,0.84567,0
2,Kmeans,0.887226,0
2,Kmeans,0.690679,0
2,Kmeans,0.881535,0
2,Kmeans,0.879998,0
2,Kmeans,0.872015,0
2,Kmeans,0.872488,0
2,Kmeans,0.873779,0
2,Kmeans,0.746142,0
2,Kmeans,0.86952,0
2,Kmeans,0.765568,0
2,Kmeans,0.795176,0
2,Kmeans,0.864084,0
2,Kmeans,0.816183,0
2,Kmeans,0.872717,0
2,Kmeans,0.883321,0
2,Kmeans,0.863644,0
2,Kmeans,0.855058,0
2,Kmeans,0.871075,0
2,Kmeans,0.881344,0
2,Kmeans,0.1969,0
2,Kmeans,0.863021,0
2,Kmeans,0.700365,0
2,Kmeans,0.852442,0
2,Kmeans,0.737371,0
2,Kmeans,0.878795,0
2,Kmeans,0.597949,0
2,Kmeans,0.883954,0
2,Kmeans,0.884335,0
2,Kmeans,0.878347,0
2,Kmeans,0.85206,0
2,Kmeans,0.885822,0
2,Kmeans,0.738035,0
2,Kmeans,0.880105,0
2,Kmeans,0.825028,0
2,Kmeans,0.753599,0
2,Kmeans,0.881006,0
2,Kmeans,0.880455,0
2,Kmeans,0.880523,0
2,Kmeans,0.875434,0
2,Kmeans,0.853783,0
2,Kmeans,0.6055,0
2,Kmeans,0.867023,0
2,Kmeans,0.845068,0
2,Kmeans,0.88586,0
2,Kmeans,0.879193,0
2,Kmeans,0.84201,0
2,Kmeans,0.866463,0
2,Kmeans,0.873176,0
2,Kmeans,0.694454,0
2,Kmeans,0.852495,0
2,Kmeans,0.779509,0
2,Kmeans,0.870839,0
2,Kmeans,0.886905,0
2,Kmeans,0.775367,0
2,Kmeans,0.869367,0
2,Kmeans,0.872136,0
2,Kmeans,0.827149,0
2,Kmeans,0.886456,0
2,Kmeans,0.858082,0
2,Kmeans,0.86436,0
2,Kmeans,0.876631,0
2,Kmeans,0.692736,0
2,Kmeans,0.879963,0
2,Kmeans,0.880749,0
2,Kmeans,0.864955,0
2,Kmeans,0.833633,0
2,Kmeans,0.698934,0
2,Kmeans,0.862478,0
2,Kmeans,0.881259,0
2,Kmeans,0.811545,0
2,Kmeans,0.867947,0
2,Kmeans,0.841201,0
2,Kmeans,0.053402,1
2,Kmeans,0.820637,0
2,Kmeans,0.707363,0
2,Kmeans,0.666089,0
2,Kmeans,0.859333,0
2,Kmeans,0.883083,0
