k,GMM,Kmeans
2,0.4437080341300641,0.8200652888629753
3,0.26184128446205557,0.548682581890331
4,0.2574523734063759,0.47854278506125336
5,0.06005345384887997,0.2784504716676567
6,0.15405750153272463,0.29225548025164527
7,0.14516496476147384,0.29757532144392207
8,0.2169818849138157,0.281188529229034
9,0.1394081306079643,0.2965684593830777
10,0.1379294687246869,0.28058070954845843
15,0.12557484106669164,0.2556016407713853
20,0.13055778635403417,0.2726011304706972
25,0.11266663242246389,0.2241867742401447
30,0.03463990366531497,0.2640127785681948
35,0.11505735467423146,0.2293663727008046
40,0.07530704232384017,0.23956759996044366
