k,GMM,Kmeans
2,0.6262471220260937,0.6262471220260937
3,0.6262471220260937,0.6262471220260937
4,0.6508058326937836,0.6369915579432079
5,0.6527244819646969,0.6415963161933999
6,0.638142747505756,0.6385264773599386
7,0.6362240982348427,0.63584036838066
8,0.6554105909439755,0.633537989255564
9,0.6565617805065234,0.6496546431312357
10,0.6588641596316194,0.6573292402148887
15,0.6688411358403684,0.6653875671527245
20,0.6676899462778204,0.6757482732156562
25,0.6665387567152724,0.680353031465848
30,0.6795855717574827,0.6811204911742134
35,0.680353031465848,0.6876438986953185
40,0.6853415195702226,0.6868764389869532
