k,GMM,Kmeans
2,0.009367145653619468,0.00924893692181588
3,0.02201059819274662,0.024648768015490038
4,0.02506532324117449,0.02477178950486172
5,0.02538618515621397,0.02340499917798906
6,0.019355095045436397,0.02249898066664097
7,0.021800561083445177,0.020704858283366687
8,0.02807006363686224,0.01911472033833947
9,0.027714707908280192,0.02387903776664404
10,0.028236960150938975,0.02290832689193769
15,0.02683752756967148,0.02311396751552091
20,0.023704249484427422,0.02333041700366166
25,0.02201058786410614,0.021625978332595792
30,0.022690169371753627,0.023871082336875866
35,0.022113581818886893,0.02492425248825902
40,0.02435461348628594,0.023704554844061993
