k,type,score,label
2,Kmeans,0.336407,0
2,Kmeans,0.542849,0
2,Kmeans,0.381441,1
2,Kmeans,0.479087,0
2,Kmeans,0.327831,0
2,Kmeans,0.48301,0
2,Kmeans,0.398346,0
2,Kmeans,0.409078,0
2,Kmeans,0.60677,0
2,Kmeans,0.528289,0
2,Kmeans,0.285188,0
2,Kmeans,0.484157,1
2,Kmeans,0.40884,0
2,Kmeans,0.598482,0
2,Kmeans,0.537386,0
2,Kmeans,0.488235,1
2,Kmeans,0.503355,0
2,Kmeans,0.481511,1
2,Kmeans,0.39575,1
2,Kmeans,0.613722,0
2,Kmeans,0.349743,1
2,Kmeans,0.460815,0
2,Kmeans,0.47205,0
2,Kmeans,0.554127,0
2,Kmeans,0.504068,0
2,Kmeans,0.505805,0
2,Kmeans,0.574266,0
2,Kmeans,0.529459,0
2,Kmeans,0.355182,0
2,Kmeans,0.344838,1
2,Kmeans,0.569838,0
2,Kmeans,0.317134,1
2,Kmeans,0.470698,0
2,Kmeans,0.45665,0
2,Kmeans,0.564194,0
2,Kmeans,0.616466,0
2,Kmeans,0.399763,1
2,Kmeans,0.523456,0
2,Kmeans,0.424236,1
2,Kmeans,0.495044,0
2,Kmeans,0.412892,0
2,Kmeans,0.548359,0
2,Kmeans,0.475455,0
2,Kmeans,0.428923,1
2,Kmeans,0.578887,0
2,Kmeans,0.536456,0
2,Kmeans,0.576649,0
2,Kmeans,0.505849,0
2,Kmeans,0.548507,0
2,Kmeans,0.41403,1
2,Kmeans,0.332815,1
2,Kmeans,0.56132,0
2,Kmeans,0.410918,1
2,Kmeans,0.426624,0
2,Kmeans,0.456123,0
2,Kmeans,0.382577,1
2,Kmeans,0.386594,1
2,Kmeans,0.340347,1
2,Kmeans,0.421988,1
2,Kmeans,0.481535,0
2,Kmeans,0.426324,1
2,Kmeans,0.409764,0
2,Kmeans,0.343647,1
2,Kmeans,-0.011745,1
2,Kmeans,0.566872,0
2,Kmeans,0.580065,0
2,Kmeans,0.469485,0
2,Kmeans,0.517665,1
2,Kmeans,0.457064,0
2,Kmeans,0.544239,0
2,Kmeans,0.530609,1
2,Kmeans,0.515547,0
2,Kmeans,0.501556,0
2,Kmeans,0.5386,0
2,Kmeans,0.566063,0
2,Kmeans,0.56854,0
2,Kmeans,0.605658,0
2,Kmeans,0.492142,0
2,Kmeans,0.318214,0
2,Kmeans,0.378944,1
2,Kmeans,0.430132,0
2,Kmeans,0.328002,1
2,Kmeans,0.459263,0
2,Kmeans,0.450713,0
2,Kmeans,0.460167,0
2,Kmeans,0.147874,1
2,Kmeans,0.565374,0
2,Kmeans,0.499953,0
2,Kmeans,0.155611,1
2,Kmeans,0.5082,0
2,Kmeans,0.424001,0
2,Kmeans,0.28081,0
2,Kmeans,0.554455,0
2,Kmeans,0.442686,0
2,Kmeans,0.477685,0
2,Kmeans,0.496886,1
2,Kmeans,0.296397,1
2,Kmeans,0.467614,1
2,Kmeans,0.520617,0
2,Kmeans,0.494515,0
2,Kmeans,0.447258,0
2,Kmeans,0.556124,0
2,Kmeans,0.546674,0
2,Kmeans,0.504116,0
2,Kmeans,0.371567,0
2,Kmeans,0.407283,1
2,Kmeans,0.59248,0
2,Kmeans,0.517449,0
2,Kmeans,0.580329,0
2,Kmeans,0.147772,1
2,Kmeans,0.506008,0
2,Kmeans,0.491363,0
2,Kmeans,0.349385,1
2,Kmeans,0.484744,0
2,Kmeans,0.488022,0
2,Kmeans,0.444874,0
2,Kmeans,0.466194,0
2,Kmeans,0.484999,0
2,Kmeans,0.283732,1
2,Kmeans,0.391398,1
2,Kmeans,0.431615,0
2,Kmeans,0.501995,1
2,Kmeans,0.432785,1
2,Kmeans,0.48955,0
2,Kmeans,0.432412,0
2,Kmeans,0.30351,0
2,Kmeans,0.490567,0
2,Kmeans,0.414081,1
2,Kmeans,0.470619,0
2,Kmeans,0.599,0
2,Kmeans,0.521496,1
2,Kmeans,0.549624,0
2,Kmeans,0.306462,1
2,Kmeans,0.538933,0
2,Kmeans,0.496839,0
2,Kmeans,0.483053,0
2,Kmeans,0.515052,1
2,Kmeans,0.312011,0
2,Kmeans,0.492613,0
2,Kmeans,0.54781,0
2,Kmeans,0.604177,0
2,Kmeans,0.438492,1
2,Kmeans,0.612868,0
2,Kmeans,0.578871,0
2,Kmeans,0.246634,1
2,Kmeans,0.323549,1
2,Kmeans,0.516704,0
2,Kmeans,0.528964,0
2,Kmeans,0.513364,0
2,Kmeans,0.413295,0
2,Kmeans,0.381501,0
2,Kmeans,0.574301,0
2,Kmeans,0.588835,0
2,Kmeans,0.394915,1
2,Kmeans,0.48327,0
2,Kmeans,0.601306,0
2,Kmeans,0.465861,0
2,Kmeans,0.495694,1
2,Kmeans,0.253479,0
2,Kmeans,0.576351,0
2,Kmeans,0.549768,0
2,Kmeans,0.538478,0
2,Kmeans,0.342345,1
2,Kmeans,0.566577,0
2,Kmeans,0.356721,1
2,Kmeans,0.445049,0
2,Kmeans,0.54093,0
2,Kmeans,0.623468,0
2,Kmeans,0.471873,0
2,Kmeans,0.467285,0
2,Kmeans,0.479375,0
2,Kmeans,0.393054,0
2,Kmeans,0.477056,0
2,Kmeans,0.489713,1
2,Kmeans,0.491999,0
2,Kmeans,0.524069,0
2,Kmeans,0.603742,0
2,Kmeans,0.403353,1
2,Kmeans,0.555251,0
2,Kmeans,0.562878,0
2,Kmeans,0.493359,0
2,Kmeans,0.493267,1
2,Kmeans,0.603225,0
2,Kmeans,0.43285,0
2,Kmeans,0.424512,1
2,Kmeans,0.567245,0
2,Kmeans,0.412442,1
2,Kmeans,0.545965,0
2,Kmeans,0.337648,0
2,Kmeans,0.487634,1
2,Kmeans,0.459295,0
2,Kmeans,0.50389,1
2,Kmeans,0.381014,0
2,Kmeans,0.615676,0
2,Kmeans,0.504146,0
2,Kmeans,0.434979,0
2,Kmeans,0.527327,0
2,Kmeans,0.319644,1
2,Kmeans,0.447585,0
2,Kmeans,0.469693,0
2,Kmeans,0.525842,0
2,Kmeans,0.188103,1
2,Kmeans,0.542719,0
2,Kmeans,0.243841,0
2,Kmeans,0.532575,0
2,Kmeans,0.303497,1
2,Kmeans,0.533488,0
2,Kmeans,0.537943,0
2,Kmeans,0.496446,1
2,Kmeans,0.527884,0
2,Kmeans,0.425663,0
2,Kmeans,0.55366,1
2,Kmeans,0.510444,0
2,Kmeans,0.52495,0
2,Kmeans,0.435193,0
2,Kmeans,0.452147,0
2,Kmeans,0.507234,0
2,Kmeans,0.530215,0
2,Kmeans,0.333686,0
2,Kmeans,0.592206,0
2,Kmeans,0.481899,0
2,Kmeans,0.431328,1
2,Kmeans,0.59181,0
2,Kmeans,0.544955,0
2,Kmeans,0.507414,0
2,Kmeans,0.586807,0
2,Kmeans,0.491808,1
2,Kmeans,0.440541,1
2,Kmeans,0.536665,1
2,Kmeans,0.506643,0
2,Kmeans,0.364441,0
2,Kmeans,0.52014,0
2,Kmeans,0.305272,0
2,Kmeans,0.355238,0
2,Kmeans,0.395552,0
2,Kmeans,0.514628,1
2,Kmeans,0.367524,1
2,Kmeans,0.604654,0
2,Kmeans,0.492233,1
2,Kmeans,0.375686,0
2,Kmeans,0.525257,0
2,Kmeans,0.524202,0
2,Kmeans,0.152702,0
2,Kmeans,0.466822,1
2,Kmeans,0.329002,1
2,Kmeans,-0.019738,1
2,Kmeans,0.614308,0
2,Kmeans,0.549192,0
2,Kmeans,0.528148,1
2,Kmeans,0.491708,1
2,Kmeans,0.139696,0
2,Kmeans,0.283609,0
2,Kmeans,0.416498,0
2,Kmeans,0.367126,1
2,Kmeans,0.480008,0
2,Kmeans,0.382711,0
