k,GMM,Kmeans
2,0.463932803548588,0.4661929445123286
3,0.3992492515803166,0.4069296926226017
4,0.3939945479611664,0.4138065580389111
5,0.2975952968439938,0.32170763140461694
6,0.28593583201513423,0.3222090884794018
7,0.2815372342096369,0.3077857391765821
8,0.27183909059560035,0.28821101797058013
9,0.2650295779035608,0.2856661677810168
10,0.2747922189239785,0.26654727237250264
15,0.19648427651540537,0.2588925562371184
20,0.18902249548841196,0.24977519791486824
25,0.18025985410353582,0.23932552482529457
30,0.17452140928673757,0.2379361854172169
35,0.16616612775980596,0.2358359594325231
40,0.16203598422450405,0.23854733637220057
