k,GMM,Kmeans
2,0.7220956719817767,0.715261958997722
3,0.7334851936218679,0.7277904328018223
4,0.7198177676537585,0.734624145785877
5,0.7357630979498861,0.7505694760820045
6,0.7380410022779044,0.7391799544419134
7,0.7391799544419134,0.7528473804100227
8,0.7517084282460137,0.7539863325740319
9,0.7403189066059226,0.7539863325740319
10,0.7414578587699316,0.7517084282460137
15,0.7517084282460137,0.7471526195899773
20,0.7779043280182233,0.7494305239179955
25,0.7710706150341685,0.765375854214123
30,0.7767653758542141,0.7722095671981777
35,0.7824601366742597,0.784738041002278
40,0.7904328018223234,0.7790432801822323
