k,GMM,Kmeans
2,0.08595306036201249,0.008864892803623582
3,0.07299421028876785,0.025659016553216354
4,0.07089539927518278,0.037889201072172835
5,0.06603201575909841,0.06574362082442031
6,0.06605053123386392,0.04404066416427161
7,0.06213841093304197,0.07065267736120794
8,0.06556522688251273,0.06915829769832063
9,0.059845928644476756,0.06885568111455376
10,0.05990627875826288,0.07209570327775541
15,0.05265190602725408,0.04904619066263118
20,0.05220123794238859,0.03809135636350716
25,0.04901296079243021,0.03814947371784088
30,0.043840149787158125,0.037498305807622076
35,0.04138170060450538,0.04393295472853062
40,0.043397211143065634,0.03987058111623859
