k,type,score,label
2,Kmeans,0.909886,0
2,Kmeans,0.89654,0
2,Kmeans,0.916593,0
2,Kmeans,0.887749,0
2,Kmeans,0.916266,0
2,Kmeans,0.354589,0
2,Kmeans,0.870253,0
2,Kmeans,0.91465,0
2,Kmeans,0.919452,0
2,Kmeans,0.909076,0
2,Kmeans,0.81998,0
2,Kmeans,0.910498,0
2,Kmeans,0.661825,0
2,Kmeans,0.919681,0
2,Kmeans,0.911231,0
2,Kmeans,0.916012,0
2,Kmeans,0.91823,0
2,Kmeans,0.904877,0
2,Kmeans,0.917554,0
2,Kmeans,0.918962,0
2,Kmeans,0.843338,0
2,Kmeans,0.623754,0
2,Kmeans,0.846014,0
2,Kmeans,0.917275,0
2,Kmeans,0.919807,0
2,Kmeans,0.917586,0
2,Kmeans,0.684267,0
2,Kmeans,0.895283,0
2,Kmeans,0.864951,0
2,Kmeans,0.825339,0
2,Kmeans,0.897928,0
2,Kmeans,0.919735,0
2,Kmeans,0.907585,0
2,Kmeans,0.920571,0
2,Kmeans,0.875076,0
2,Kmeans,0.915655,0
2,Kmeans,0.898048,0
2,Kmeans,0.919157,0
2,Kmeans,0.804254,0
2,Kmeans,0.906853,0
2,Kmeans,0.887859,0
2,Kmeans,0.91431,0
2,Kmeans,0.817688,0
2,Kmeans,0.738357,0
2,Kmeans,0.921521,0
2,Kmeans,0.919973,0
2,Kmeans,0.919871,0
2,Kmeans,0.920148,0
2,Kmeans,0.921459,0
2,Kmeans,0.915478,0
2,Kmeans,0.903515,0
2,Kmeans,0.91753,0
2,Kmeans,0.913872,0
2,Kmeans,0.443261,0
2,Kmeans,0.922627,0
2,Kmeans,0.913693,0
2,Kmeans,0.805932,0
2,Kmeans,0.9139,0
2,Kmeans,0.906551,0
2,Kmeans,0.914606,0
2,Kmeans,0.921295,0
2,Kmeans,0.91665,0
2,Kmeans,0.911005,0
2,Kmeans,0.21408,1
2,Kmeans,0.918313,0
2,Kmeans,0.919189,0
2,Kmeans,0.895448,0
2,Kmeans,0.919949,0
2,Kmeans,0.917466,0
2,Kmeans,0.598195,0
2,Kmeans,0.916976,0
2,Kmeans,0.897911,0
2,Kmeans,0.91541,0
2,Kmeans,0.913368,0
2,Kmeans,0.920776,0
2,Kmeans,0.869521,0
2,Kmeans,0.913836,0
2,Kmeans,0.782896,0
2,Kmeans,0.92285,0
2,Kmeans,0.914056,0
2,Kmeans,0.908823,0
2,Kmeans,-0.348588,1
