k,GMM,Kmeans
2,0.4862395003452301,0.8371956716268033
3,0.41186668309447944,0.7835354721655585
4,0.4586139287299786,0.7714442685617802
5,0.43284175747062487,0.6934655667258632
6,0.4339166894249702,0.7446351251510618
7,0.43966202585652353,0.6987055208916759
8,0.41237210596464297,0.6601369407675977
9,0.43835996862290205,0.6608823208569247
10,0.43636837075012014,0.5003756703866266
15,0.3498057622648958,0.4824433729168008
20,0.25757822619077336,0.32584049108586255
25,0.2667148236065341,0.3820726411821284
30,0.24982152274786706,0.3188613565120126
35,0.19420263167993818,0.37773091586961816
40,0.1951636383715228,0.32603199666222477
