k,GMM,Kmeans
2,0.6573292402148887,0.6619339984650806
3,0.634689178818112,0.6818879508825787
4,0.6707597851112816,0.6807367613200307
5,0.7083653108211819,0.6960859554873369
6,0.7087490406753646,0.6960859554873369
7,0.6980046047582502,0.6933998465080583
8,0.6957022256331543,0.6914811972371451
9,0.7114351496546432,0.7060629316960859
10,0.7191097467382962,0.7225633154259401
15,0.7386799693016116,0.7306216423637759
20,0.727168073676132,0.7344589409056025
25,0.7352264006139677,0.7329240214888718
30,0.7367613200306984,0.7413660782808903
35,0.737145049884881,0.7421335379892555
40,0.7313891020721413,0.7448196469685342
