k,GMM,Kmeans
2,0.05423710754823231,0.10367441493428953
3,0.056276476202237836,0.08112499687583026
4,0.054404216282728735,0.0656513723711512
5,0.06619954898214626,0.06392492881452057
6,0.06460810938355699,0.05736667567820973
7,0.05456622853323035,0.05489363972185414
8,0.05309775318235931,0.052451578040827486
9,0.05320011240864197,0.05133605447151423
10,0.05431301974222166,0.051230147364201305
15,0.04689824991554637,0.04794067632484558
20,0.045101349390386375,0.04291310985613339
25,0.043709132085063676,0.04266998997419336
30,0.041614718113044354,0.04188803815630953
35,0.03871332306302729,0.04024883889916817
40,0.03729384741546399,0.03930363905968709
