,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_gmm__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,1.593412208557129,0.24516339386090197,0.011653900146484375,0.001588801282810144,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 2}",0.6594918842625264,0.628228652081863,0.6068271197105553,0.6187352524775838,0.5,0.6027275962708333,0.05418494383285828,259,0.6320511117996843,0.6184247414161982,0.6242610878595285,0.6283269476121859,0.5000000000000002,0.6006127777375194,0.05050917486204437
1,2.3481685161590575,0.24279777813683917,0.010800313949584962,0.001364669071166285,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 3}",0.6373559162549988,0.5904022582921664,0.6182082743432437,0.6131272612867706,0.5893681614066156,0.6097033864575202,0.018086097056420523,256,0.600476099134857,0.5959143021557257,0.6196113720224814,0.6142175837007826,0.5995611968429734,0.605956110771364,0.009235599241637422
2,2.1174035549163817,0.39569482486249974,0.011847448348999024,0.0024097822633053533,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 4}",0.7213596800752764,0.6671606680780992,0.693212207015888,0.6963504797860628,0.6735184365315287,0.690329765370788,0.01912315344458064,75,0.6776784265120329,0.6963672849069689,0.6917923005698987,0.6921977561840581,0.6972974830172382,0.6910666502380394,0.007042307982737533
3,2.527396631240845,0.5276965598389846,0.011731815338134766,0.001487524872516736,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 5}",0.6437779346036226,0.6605269348388614,0.6813276702847255,0.6493393109957528,0.6436183669597115,0.6557199500825618,0.014200598362961604,191,0.6178089603037591,0.6571781289500735,0.6845619211813945,0.634665324649539,0.6747653826520598,0.6537959435473651,0.024733562123684612
4,2.9350799083709718,0.9264954402240531,0.012892532348632812,0.001722443736720054,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 6}",0.6855328158080451,0.6836509056692542,0.6535787321063394,0.6709060877772535,0.6544178103851749,0.6696345952305423,0.013712951491594837,156,0.6801961449741539,0.68699137808075,0.6646302146506594,0.6592246312565488,0.669868849884164,0.6721822437692552,0.010137235606247977
5,3.0978798389434816,1.3522921733479165,0.011694812774658203,0.003528613453249596,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 7}",0.6650670430486944,0.673394495412844,0.6149520213937391,0.6216375648890987,0.6374675858579469,0.6425261865604044,0.023172939212514697,209,0.6548005843034838,0.6968384656623337,0.6149139844344362,0.6302171079661953,0.6535330034947188,0.6500606291722335,0.027755152728658094
6,2.45233359336853,0.3198320164168335,0.011802482604980468,0.002696541839173917,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 8}",0.6988943777934603,0.6063514467184191,0.6725578102878715,0.60826647789838,0.6481563468471317,0.6468492229089587,0.036071824180001016,206,0.6614517088909546,0.5940669588184085,0.6727717633829841,0.6118398936870808,0.6740271724192094,0.6428314994397274,0.03333095158190946
7,3.0892802238464356,0.7227611771353311,0.013528966903686523,0.0016247285065575962,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 9}",0.6875088214537756,0.6845918607386496,0.6792669498190971,0.7223297152745006,0.672032129530074,0.689150086712912,0.017400926574561017,87,0.6687771433068233,0.6991373162370462,0.6902594326177002,0.6940431935551725,0.6968626065103861,0.6898159384454257,0.010929235000489772
8,2.607398843765259,0.2630434337227452,0.011311960220336915,0.004267353794035355,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 10}",0.7023994354269583,0.6505763349800046,0.6082664778983796,0.6298568507157466,0.6878597179179053,0.655795341395896,0.03509696689888678,190,0.6754740088235729,0.6703357777679412,0.614790136174111,0.6428742035868815,0.7135920995798485,0.663413245186471,0.033158286641323434
9,3.2061644077301024,0.4267470902927182,0.014707851409912109,0.001102563839932474,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 15}",0.7312867560573981,0.6932721712538226,0.7212285669340883,0.70128991662734,0.6945480994244513,0.7083334235198295,0.01523328036281861,13,0.7165360836911455,0.7066265326900093,0.7045599749944467,0.7091094327159924,0.7146336435386973,0.7102931335260582,0.004594097734720913
10,4.1149266242980955,1.035054900465294,0.014070558547973632,0.0017060091192066145,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 20}",0.7029875323453304,0.6959303693248646,0.7284410885637879,0.7166037439043574,0.7059009550313071,0.7099662313906469,0.011382462534458928,8,0.6961572701026467,0.7182585001893577,0.713568461549047,0.7011816696711338,0.7188273059253153,0.7095986414875001,0.009245936952262356
11,3.421343278884888,0.49169640639565043,0.022855520248413086,0.010257828583069282,0.1,"(50, 50)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 25}",0.7117148906139731,0.6979534227240649,0.7017461066540821,0.6966886896334751,0.693441275061666,0.7003149852111817,0.006294033055008568,37,0.7033322021060502,0.7094821438232531,0.6981414897569626,0.7097173704065566,0.7138149369772648,0.7068976286140175,0.0055111169739601226
