k,type,score,label
2,Kmeans,0.376332,1
2,Kmeans,0.192702,1
2,Kmeans,0.121275,1
2,Kmeans,0.552336,0
2,Kmeans,0.443429,1
2,Kmeans,0.137061,1
2,Kmeans,0.501686,1
2,Kmeans,0.391253,0
2,Kmeans,0.104078,1
2,Kmeans,0.417371,1
2,Kmeans,0.563886,0
2,Kmeans,0.363393,1
2,Kmeans,0.134196,1
2,Kmeans,0.603009,0
2,Kmeans,0.476525,0
2,Kmeans,0.092887,0
2,Kmeans,0.542931,0
2,Kmeans,0.326294,1
2,Kmeans,0.47049,1
2,Kmeans,0.527892,0
2,Kmeans,0.529065,0
2,Kmeans,0.466522,0
2,Kmeans,0.373908,1
2,Kmeans,0.407944,1
2,Kmeans,0.493586,1
2,Kmeans,0.261038,0
2,Kmeans,0.48881,0
2,Kmeans,0.115097,0
2,Kmeans,0.46417,0
2,Kmeans,0.598281,0
2,Kmeans,0.340305,1
2,Kmeans,-0.013427,1
2,Kmeans,0.472675,1
2,Kmeans,0.41425,0
2,Kmeans,0.217115,1
2,Kmeans,0.481623,1
2,Kmeans,0.269427,0
2,Kmeans,-0.030222,1
2,Kmeans,0.437717,0
2,Kmeans,0.305402,0
2,Kmeans,0.273451,0
2,Kmeans,0.475863,1
2,Kmeans,0.519836,1
2,Kmeans,0.477733,0
2,Kmeans,0.380525,0
2,Kmeans,0.532131,0
2,Kmeans,0.472958,1
2,Kmeans,0.13956,0
2,Kmeans,0.490916,1
2,Kmeans,0.42373,1
2,Kmeans,0.453513,1
2,Kmeans,0.337964,0
2,Kmeans,0.29758,1
2,Kmeans,0.410935,0
2,Kmeans,0.602662,0
2,Kmeans,0.003482,1
2,Kmeans,0.391661,1
2,Kmeans,0.581381,0
2,Kmeans,0.590565,0
2,Kmeans,0.11902,1
2,Kmeans,0.366516,1
2,Kmeans,0.505374,1
2,Kmeans,0.26582,0
2,Kmeans,0.463944,1
2,Kmeans,0.464727,1
2,Kmeans,0.501081,0
2,Kmeans,0.202245,1
2,Kmeans,0.588802,0
2,Kmeans,0.5189,0
2,Kmeans,0.071344,1
2,Kmeans,0.423791,1
2,Kmeans,0.399666,1
2,Kmeans,0.439029,1
2,Kmeans,0.593979,0
2,Kmeans,0.592783,0
2,Kmeans,0.407157,1
2,Kmeans,0.292801,0
2,Kmeans,0.574546,0
2,Kmeans,0.141276,1
2,Kmeans,0.520952,1
2,Kmeans,0.589765,0
2,Kmeans,0.587698,0
2,Kmeans,0.161217,1
2,Kmeans,0.349399,1
2,Kmeans,0.379302,1
2,Kmeans,0.503698,1
2,Kmeans,0.619302,0
2,Kmeans,0.34927,1
2,Kmeans,0.459131,1
2,Kmeans,0.106444,1
2,Kmeans,0.336422,0
2,Kmeans,0.249371,1
2,Kmeans,0.574087,0
2,Kmeans,0.590727,0
2,Kmeans,0.463378,1
2,Kmeans,0.49827,1
2,Kmeans,0.249832,1
2,Kmeans,0.534154,0
2,Kmeans,0.130982,0
2,Kmeans,0.520014,1
2,Kmeans,0.26798,1
2,Kmeans,0.126849,1
2,Kmeans,0.379752,1
2,Kmeans,0.539755,1
2,Kmeans,0.531727,0
2,Kmeans,0.427033,1
2,Kmeans,0.484179,1
2,Kmeans,0.397831,1
2,Kmeans,0.184172,0
2,Kmeans,-0.038195,1
2,Kmeans,0.473219,1
2,Kmeans,0.122717,0
2,Kmeans,0.35539,0
2,Kmeans,0.312356,0
2,Kmeans,0.336025,1
2,Kmeans,0.17686,1
2,Kmeans,0.359342,1
2,Kmeans,0.452777,0
2,Kmeans,0.421237,1
2,Kmeans,0.605885,0
2,Kmeans,0.468881,0
2,Kmeans,0.447166,1
2,Kmeans,0.564106,0
2,Kmeans,0.383805,1
2,Kmeans,0.159133,1
2,Kmeans,0.416727,0
2,Kmeans,0.383163,1
2,Kmeans,0.337166,1
2,Kmeans,0.509102,1
2,Kmeans,0.356132,1
2,Kmeans,0.6154,0
2,Kmeans,0.09767,0
2,Kmeans,0.445987,0
2,Kmeans,0.100084,1
2,Kmeans,0.059683,1
2,Kmeans,0.432351,1
2,Kmeans,0.36403,1
2,Kmeans,0.41105,0
2,Kmeans,0.105898,1
2,Kmeans,0.366458,1
2,Kmeans,0.587358,0
2,Kmeans,0.496975,1
2,Kmeans,0.61813,0
2,Kmeans,0.170067,0
2,Kmeans,0.031233,1
2,Kmeans,0.034426,1
2,Kmeans,0.449027,1
2,Kmeans,0.53418,0
2,Kmeans,0.592122,0
2,Kmeans,0.13964,0
2,Kmeans,0.374464,1
2,Kmeans,0.506875,1
2,Kmeans,0.337349,1
2,Kmeans,0.040755,1
2,Kmeans,0.563776,0
2,Kmeans,0.455205,1
2,Kmeans,0.160224,0
2,Kmeans,0.278428,0
2,Kmeans,0.371382,0
2,Kmeans,0.092152,1
2,Kmeans,0.194124,0
2,Kmeans,0.421733,1
2,Kmeans,0.504796,1
2,Kmeans,0.518556,0
2,Kmeans,0.255161,1
2,Kmeans,0.550262,0
2,Kmeans,0.528337,1
2,Kmeans,0.529976,1
2,Kmeans,0.447184,0
2,Kmeans,0.567656,0
2,Kmeans,0.196607,0
2,Kmeans,0.54711,0
2,Kmeans,0.518062,0
2,Kmeans,0.420362,1
2,Kmeans,0.5934,0
2,Kmeans,0.147184,0
2,Kmeans,0.394948,1
2,Kmeans,0.103118,1
2,Kmeans,0.55642,0
2,Kmeans,0.539974,1
2,Kmeans,0.060297,1
2,Kmeans,-0.059803,1
2,Kmeans,0.375946,1
2,Kmeans,0.361844,1
2,Kmeans,0.506157,1
2,Kmeans,0.445215,1
2,Kmeans,0.032282,1
2,Kmeans,0.131083,0
2,Kmeans,0.59074,0
2,Kmeans,0.488107,0
2,Kmeans,0.23963,1
2,Kmeans,0.356091,0
2,Kmeans,0.48145,1
2,Kmeans,0.436012,1
2,Kmeans,0.394183,1
2,Kmeans,0.207495,1
2,Kmeans,0.511621,0
2,Kmeans,0.54764,0
2,Kmeans,0.568224,0
2,Kmeans,-0.026067,1
2,Kmeans,0.169969,1
2,Kmeans,0.494792,1
2,Kmeans,0.389918,0
2,Kmeans,0.494675,1
2,Kmeans,0.5689,0
2,Kmeans,0.564955,0
2,Kmeans,0.479142,1
2,Kmeans,0.493562,0
2,Kmeans,0.187672,0
2,Kmeans,0.2196,1
2,Kmeans,0.574417,0
2,Kmeans,0.418001,1
2,Kmeans,0.591721,0
2,Kmeans,0.484338,1
2,Kmeans,0.19217,1
2,Kmeans,0.243252,1
2,Kmeans,0.574532,0
2,Kmeans,0.180598,1
2,Kmeans,0.240224,0
2,Kmeans,0.432562,1
2,Kmeans,0.413622,1
2,Kmeans,0.477131,1
2,Kmeans,0.352987,1
2,Kmeans,0.098171,1
2,Kmeans,0.353767,0
2,Kmeans,0.413034,1
2,Kmeans,0.56619,0
2,Kmeans,0.589816,0
2,Kmeans,0.589967,0
2,Kmeans,0.588564,0
2,Kmeans,0.20154,1
2,Kmeans,0.459539,1
2,Kmeans,0.610815,0
2,Kmeans,0.224264,1
2,Kmeans,0.190416,0
2,Kmeans,0.524336,1
2,Kmeans,0.520274,1
2,Kmeans,0.439887,1
2,Kmeans,0.411899,1
2,Kmeans,0.473976,1
2,Kmeans,0.47492,1
2,Kmeans,-0.067431,1
2,Kmeans,0.144761,0
2,Kmeans,0.343794,1
2,Kmeans,0.463676,1
2,Kmeans,0.143729,1
2,Kmeans,0.412592,1
2,Kmeans,0.35123,1
2,Kmeans,0.40147,1
2,Kmeans,0.461977,1
2,Kmeans,0.415851,1
2,Kmeans,0.413958,1
2,Kmeans,0.005297,1
2,Kmeans,0.56641,0
2,Kmeans,0.573894,0
2,Kmeans,0.12716,1
2,Kmeans,0.539414,0
2,Kmeans,0.490171,1
2,Kmeans,0.147477,1
2,Kmeans,0.533274,1
2,Kmeans,0.248373,1
2,Kmeans,0.603815,0
2,Kmeans,0.525584,0
2,Kmeans,0.352038,1
2,Kmeans,0.46671,1
2,Kmeans,0.441972,1
2,Kmeans,0.31788,0
2,Kmeans,0.382705,0
2,Kmeans,0.473059,1
2,Kmeans,0.476882,0
2,Kmeans,0.602726,0
2,Kmeans,-0.006876,1
2,Kmeans,0.558616,0
2,Kmeans,0.489349,1
2,Kmeans,0.40137,1
2,Kmeans,0.136856,0
2,Kmeans,0.492633,1
2,Kmeans,0.14515,0
2,Kmeans,0.526242,0
2,Kmeans,0.081193,1
2,Kmeans,0.175272,0
2,Kmeans,0.56701,0
2,Kmeans,0.491081,1
2,Kmeans,0.548604,0
2,Kmeans,0.530179,1
2,Kmeans,0.47845,1
2,Kmeans,0.061596,0
2,Kmeans,0.388425,1
2,Kmeans,0.551591,0
2,Kmeans,0.390089,1
2,Kmeans,0.530182,0
2,Kmeans,0.578541,0
2,Kmeans,0.379501,1
2,Kmeans,0.147427,1
2,Kmeans,0.412265,0
2,Kmeans,0.487117,1
2,Kmeans,0.350619,1
2,Kmeans,0.519341,1
2,Kmeans,0.176474,1
2,Kmeans,0.3164,1
2,Kmeans,0.442783,1
2,Kmeans,0.146029,1
2,Kmeans,0.438538,1
2,Kmeans,0.442231,0
2,Kmeans,0.601317,0
2,Kmeans,0.1976,1
2,Kmeans,0.384202,1
2,Kmeans,0.397158,1
2,Kmeans,0.358549,1
2,Kmeans,0.588286,0
2,Kmeans,0.61669,0
2,Kmeans,0.614196,0
2,Kmeans,0.318528,1
2,Kmeans,0.285734,1
2,Kmeans,0.579446,0
2,Kmeans,0.539886,0
2,Kmeans,0.591615,0
2,Kmeans,-0.008147,1
2,Kmeans,0.468983,0
2,Kmeans,0.596603,0
2,Kmeans,0.045434,1
2,Kmeans,0.539532,1
2,Kmeans,0.302563,1
2,Kmeans,0.528011,0
2,Kmeans,0.363591,1
2,Kmeans,0.243352,1
2,Kmeans,0.09038,0
2,Kmeans,0.486143,1
2,Kmeans,0.408588,1
2,Kmeans,0.120949,1
2,Kmeans,0.191221,1
2,Kmeans,0.573757,0
2,Kmeans,0.305161,1
2,Kmeans,0.421025,1
2,Kmeans,0.58098,0
2,Kmeans,0.352266,0
2,Kmeans,0.436615,1
2,Kmeans,0.383633,1
2,Kmeans,0.610437,0
2,Kmeans,0.542526,0
2,Kmeans,0.431246,0
2,Kmeans,0.530143,1
2,Kmeans,0.106629,0
2,Kmeans,0.28022,0
2,Kmeans,0.449273,1
2,Kmeans,0.261882,1
2,Kmeans,0.526799,1
2,Kmeans,0.46228,1
2,Kmeans,0.013174,1
2,Kmeans,0.597268,0
2,Kmeans,0.399317,1
2,Kmeans,0.166089,1
2,Kmeans,0.417486,1
2,Kmeans,0.49848,1
2,Kmeans,0.37884,0
2,Kmeans,0.60901,0
2,Kmeans,0.525164,1
2,Kmeans,0.410574,0
2,Kmeans,0.530749,0
2,Kmeans,0.536685,1
2,Kmeans,0.509449,1
2,Kmeans,0.021892,1
2,Kmeans,0.276294,0
2,Kmeans,0.543646,0
2,Kmeans,0.512128,1
2,Kmeans,0.44991,1
2,Kmeans,0.407267,0
2,Kmeans,0.58157,0
2,Kmeans,-0.031976,1
2,Kmeans,0.582893,0
2,Kmeans,0.507616,0
2,Kmeans,0.465524,1
2,Kmeans,0.515329,0
2,Kmeans,0.458344,1
2,Kmeans,0.438725,0
2,Kmeans,0.058134,1
2,Kmeans,0.413533,1
2,Kmeans,0.560265,0
2,Kmeans,0.442244,1
2,Kmeans,0.528982,0
2,Kmeans,0.603062,0
2,Kmeans,0.505046,0
2,Kmeans,0.122932,1
2,Kmeans,0.409553,1
2,Kmeans,0.508872,1
2,Kmeans,0.31487,1
2,Kmeans,0.24334,1
2,Kmeans,0.586228,0
2,Kmeans,0.541059,0
2,Kmeans,0.489486,0
2,Kmeans,0.319749,1
2,Kmeans,0.57123,0
2,Kmeans,0.513845,1
2,Kmeans,0.436626,1
2,Kmeans,0.1736,0
2,Kmeans,0.416257,1
2,Kmeans,0.453321,1
2,Kmeans,0.484911,0
2,Kmeans,0.542013,0
2,Kmeans,0.440369,0
2,Kmeans,-0.038822,1
2,Kmeans,0.177659,1
2,Kmeans,0.574247,0
2,Kmeans,0.326712,0
2,Kmeans,0.278091,0
2,Kmeans,0.606732,0
2,Kmeans,0.299749,1
2,Kmeans,0.427354,0
2,Kmeans,0.498098,1
2,Kmeans,0.468335,1
2,Kmeans,0.476107,1
2,Kmeans,0.047165,1
2,Kmeans,0.176737,0
2,Kmeans,0.552391,0
2,Kmeans,0.348366,0
2,Kmeans,0.190041,0
2,Kmeans,-0.050387,1
2,Kmeans,0.051631,1
2,Kmeans,0.316001,1
2,Kmeans,0.127762,0
2,Kmeans,0.499488,1
2,Kmeans,0.416141,0
2,Kmeans,0.591085,0
2,Kmeans,0.416951,0
2,Kmeans,0.30792,0
2,Kmeans,0.574291,0
2,Kmeans,0.424168,1
2,Kmeans,0.023526,1
2,Kmeans,0.533445,1
2,Kmeans,0.496932,1
2,Kmeans,0.519502,0
2,Kmeans,0.57343,0
2,Kmeans,0.34521,1
2,Kmeans,0.527936,1
2,Kmeans,0.398886,1
2,Kmeans,0.392029,1
2,Kmeans,0.421205,0
2,Kmeans,0.35605,1
2,Kmeans,0.454347,1
2,Kmeans,0.378003,1
2,Kmeans,0.598126,0
2,Kmeans,0.434265,1
2,Kmeans,0.46764,1
2,Kmeans,0.103248,0
2,Kmeans,0.408986,1
2,Kmeans,0.325841,0
2,Kmeans,0.500972,1
2,Kmeans,0.571155,0
2,Kmeans,0.484907,1
2,Kmeans,0.471697,0
2,Kmeans,0.118713,0
2,Kmeans,0.190425,0
2,Kmeans,0.115006,0
2,Kmeans,0.069615,1
2,Kmeans,0.38453,0
2,Kmeans,0.598566,0
2,Kmeans,0.540784,0
2,Kmeans,0.294585,1
2,Kmeans,0.434273,0
2,Kmeans,0.328281,0
2,Kmeans,0.200068,1
2,Kmeans,0.459069,1
2,Kmeans,0.493608,1
2,Kmeans,0.262322,1
2,Kmeans,0.138791,1
2,Kmeans,0.537731,1
2,Kmeans,0.347239,1
2,Kmeans,0.533716,0
2,Kmeans,0.577318,0
2,Kmeans,0.600324,0
2,Kmeans,0.533414,0
2,Kmeans,0.243504,1
2,Kmeans,-0.032982,1
2,Kmeans,0.436184,1
2,Kmeans,0.595849,0
2,Kmeans,0.094365,0
2,Kmeans,0.57873,0
2,Kmeans,0.24299,0
2,Kmeans,0.588978,0
2,Kmeans,0.273061,0
2,Kmeans,0.605645,0
2,Kmeans,0.424784,1
2,Kmeans,0.521805,1
2,Kmeans,0.334789,1
2,Kmeans,0.276367,1
2,Kmeans,0.501635,0
2,Kmeans,0.408255,0
2,Kmeans,0.595158,0
2,Kmeans,0.573786,0
2,Kmeans,0.60244,0
2,Kmeans,0.195674,1
2,Kmeans,0.298827,0
2,Kmeans,0.38468,1
2,Kmeans,0.266478,1
2,Kmeans,0.476309,0
2,Kmeans,0.597983,0
2,Kmeans,0.435376,1
2,Kmeans,0.395803,1
2,Kmeans,0.231098,0
2,Kmeans,0.403244,1
2,Kmeans,0.378548,1
2,Kmeans,0.594451,0
2,Kmeans,0.438429,1
2,Kmeans,0.484848,1
2,Kmeans,0.597564,0
2,Kmeans,0.528054,0
2,Kmeans,0.096452,0
2,Kmeans,0.590055,0
2,Kmeans,0.464106,1
2,Kmeans,0.094335,0
2,Kmeans,0.065196,0
2,Kmeans,0.228932,0
2,Kmeans,0.090915,0
2,Kmeans,0.523829,0
2,Kmeans,0.448603,1
2,Kmeans,0.466034,0
2,Kmeans,0.620311,0
2,Kmeans,0.319304,1
2,Kmeans,0.530908,1
2,Kmeans,0.59399,0
2,Kmeans,0.492033,1
2,Kmeans,0.236067,0
2,Kmeans,0.425227,1
2,Kmeans,0.566981,0
2,Kmeans,-0.039925,1
2,Kmeans,0.568995,0
2,Kmeans,0.055661,1
2,Kmeans,0.084038,1
2,Kmeans,0.554881,0
2,Kmeans,0.493275,1
2,Kmeans,0.035876,1
2,Kmeans,0.407003,1
2,Kmeans,0.484307,1
2,Kmeans,0.326179,0
2,Kmeans,0.402053,1
2,Kmeans,-0.007892,1
2,Kmeans,0.553603,0
2,Kmeans,0.506806,1
2,Kmeans,0.430149,0
2,Kmeans,0.363001,1
2,Kmeans,0.344604,1
2,Kmeans,0.413909,1
2,Kmeans,0.4854,1
2,Kmeans,0.534707,0
2,Kmeans,0.539247,0
2,Kmeans,0.525129,1
2,Kmeans,0.239916,0
2,Kmeans,0.579993,0
2,Kmeans,0.5342,0
2,Kmeans,0.349615,0
2,Kmeans,0.121311,0
2,Kmeans,0.128353,1
2,Kmeans,0.454854,1
2,Kmeans,0.185383,1
2,Kmeans,0.494844,1
2,Kmeans,0.533447,0
2,Kmeans,0.549338,0
2,Kmeans,0.332482,0
2,Kmeans,-0.021625,1
2,Kmeans,0.008117,1
2,Kmeans,0.588542,0
2,Kmeans,0.593358,0
2,Kmeans,0.597281,0
2,Kmeans,0.484535,1
2,Kmeans,0.307417,0
2,Kmeans,0.515849,0
2,Kmeans,0.588383,0
2,Kmeans,0.439871,0
2,Kmeans,0.200214,0
2,Kmeans,0.508889,0
2,Kmeans,0.419073,1
2,Kmeans,0.17984,1
2,Kmeans,0.451918,0
2,Kmeans,-0.046723,1
2,Kmeans,0.441246,1
2,Kmeans,0.47094,1
2,Kmeans,0.377465,1
2,Kmeans,0.314253,1
2,Kmeans,0.568802,0
2,Kmeans,0.498992,1
2,Kmeans,0.134436,0
2,Kmeans,0.372134,0
2,Kmeans,0.044114,1
2,Kmeans,0.551001,0
2,Kmeans,0.065685,1
2,Kmeans,0.126999,0
2,Kmeans,0.491157,1
2,Kmeans,0.423638,0
2,Kmeans,0.123745,1
2,Kmeans,0.446051,1
2,Kmeans,0.352676,1
2,Kmeans,0.261296,1
2,Kmeans,0.600782,0
2,Kmeans,0.512216,1
2,Kmeans,0.514321,1
2,Kmeans,0.128722,0
2,Kmeans,0.306832,1
2,Kmeans,0.431661,1
2,Kmeans,0.371694,1
2,Kmeans,0.140056,1
2,Kmeans,0.281057,1
2,Kmeans,0.176621,0
2,Kmeans,0.470505,1
2,Kmeans,0.29162,1
2,Kmeans,0.351868,1
2,Kmeans,0.204566,1
2,Kmeans,0.479692,1
2,Kmeans,0.395617,0
2,Kmeans,-0.033961,1
2,Kmeans,0.360282,0
2,Kmeans,0.341431,1
2,Kmeans,0.178655,0
2,Kmeans,0.150671,0
2,Kmeans,0.377966,1
2,Kmeans,0.519036,1
2,Kmeans,0.474734,1
2,Kmeans,0.433582,1
2,Kmeans,-0.085673,1
2,Kmeans,-0.005622,1
2,Kmeans,0.299029,1
2,Kmeans,0.500182,1
2,Kmeans,0.573235,0
2,Kmeans,0.524102,1
2,Kmeans,0.433411,1
2,Kmeans,0.5965,0
2,Kmeans,0.256351,1
2,Kmeans,0.52881,0
2,Kmeans,0.583217,0
2,Kmeans,0.520702,1
2,Kmeans,0.603984,0
2,Kmeans,0.502101,1
2,Kmeans,0.48598,0
2,Kmeans,0.402063,0
2,Kmeans,0.508825,1
2,Kmeans,0.193136,1
2,Kmeans,0.45723,0
2,Kmeans,0.578198,0
2,Kmeans,0.236031,1
2,Kmeans,0.456145,1
2,Kmeans,0.247597,0
2,Kmeans,0.462756,1
2,Kmeans,0.419149,1
2,Kmeans,0.47295,1
2,Kmeans,0.610771,0
2,Kmeans,0.351406,1
2,Kmeans,0.043342,1
2,Kmeans,-0.022256,1
2,Kmeans,0.270729,1
2,Kmeans,0.13888,0
2,Kmeans,0.078108,0
2,Kmeans,0.442612,1
2,Kmeans,0.481736,0
2,Kmeans,0.506683,0
