k,GMM,Kmeans
2,0.3179678889412527,0.3826237708843324
3,0.3275216740967785,0.3867128547880767
4,0.27205193436454206,0.33296826970369175
5,0.27204599951441727,0.3386789807715006
6,0.2560852798408425,0.2993539248976901
7,0.24481698017806053,0.3011128278421229
8,0.2613671922762435,0.26472352929992704
9,0.25079756509206197,0.25363143385749354
10,0.23590799286629446,0.2587530371802179
15,0.2215134195039637,0.26063446131213247
20,0.20260530139397687,0.25536791791285673
25,0.21135554263007972,0.2503978439474158
30,0.22901221686959436,0.2545330147365359
35,0.19112397918393817,0.25634682915307844
40,0.15643472898450744,0.25685875322523055
