k,GMM,Kmeans
2,0.004119607582805553,0.004119607582805553
3,0.02120463254908808,0.009959464016614081
4,0.028436535057891902,0.008815292737545596
5,0.025058479506943815,0.01261367283081279
6,0.017433310019239662,0.010438460247676851
7,0.0188384216579788,0.007274862795810922
8,0.01576642970866306,0.01389195946983793
9,0.02461100560290035,0.014315962684999491
10,0.022613924867960312,0.01171467427829722
15,0.02333103773668465,0.010208911021542706
20,0.016967378287533995,0.016344387081897643
25,0.017710240262787197,0.012361383424966083
30,0.017460561959441134,0.010090993675945289
35,0.01929252433659013,0.011218152147808967
40,0.017849164797346228,0.011530530708736839
