,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_gmm__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.79252028465271,0.0597228057424782,0.014455556869506836,0.0017631464051331314,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 2}",0.49999999999999983,0.49999999999999994,0.49999999999999983,0.5000000000000001,0.5000000000000001,0.4999999999999999,1.466534737580185e-16,131,0.5,0.49299999999999994,0.493,0.5,0.495,0.4962,0.0031874754901018596
1,0.9258232116699219,0.025703955078310053,0.012911748886108399,0.002925842146980204,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 3}",0.49999999999999983,0.49999999999999994,0.49999999999999983,0.5000000000000001,0.5000000000000001,0.4999999999999999,1.466534737580185e-16,131,0.5,0.5,0.5,0.5,0.5,0.5,0.0
2,1.1442044258117676,0.20031648711429736,0.017356014251708983,0.0018327098284902732,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 4}",0.5807058823529411,0.5386666666666666,0.49999999999999983,0.5220000000000001,0.5000000000000001,0.5283138594845682,0.030002554279102228,29,0.626950495049505,0.5869702970297029,0.498,0.5013891625615764,0.5014630541871922,0.5429546017655953,0.05378260312540083
3,1.1668489933013917,0.135736741152051,0.020083045959472655,0.013361593463517524,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 5}",0.49999999999999983,0.49999999999999994,0.49999999999999983,0.5000000000000001,0.5000000000000001,0.4999999999999999,1.466534737580185e-16,131,0.5,0.5,0.5,0.5,0.5,0.5,0.0
4,1.4380517959594727,0.18955640020809886,0.01810932159423828,0.009875905359213866,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 6}",0.5268235294117646,0.5212549019607842,0.6667450980392157,0.5320000000000001,0.6020000000000001,0.569771003617848,0.05672775418886266,3,0.5448316831683168,0.5711683168316831,0.5941287128712871,0.5114088669950739,0.5766748768472907,0.5596424913427303,0.028837783690792023
5,1.3453302383422852,0.4835629117671112,0.015552091598510741,0.002781174177290636,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 7}",0.49999999999999983,0.5390588235294117,0.49999999999999983,0.5000000000000001,0.5000000000000001,0.5078295591585152,0.015636859431127737,97,0.5,0.5655643564356435,0.5,0.5,0.5,0.5131128712871287,0.026225742574257405
6,1.5133797645568847,0.24049331051569645,0.01686992645263672,0.005875458488386194,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 8}",0.49999999999999983,0.49999999999999994,0.49999999999999983,0.5000000000000001,0.5000000000000001,0.4999999999999999,1.466534737580185e-16,131,0.5,0.5,0.5,0.5,0.5,0.5,0.0
7,1.4390321254730225,0.3819247687598676,0.015022468566894532,0.003685313478669111,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 9}",0.49999999999999983,0.49999999999999994,0.49999999999999983,0.5000000000000001,0.5000000000000001,0.4999999999999999,1.466534737580185e-16,131,0.5,0.5,0.5,0.5,0.5,0.5,0.0
8,1.4658201217651368,0.22017622035436632,0.024693727493286133,0.008641198646723015,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 10}",0.49999999999999983,0.5098039215686274,0.5254117647058822,0.4760000000000001,0.5000000000000001,0.5022755817588994,0.016072990462582686,115,0.5,0.5028514851485147,0.5191782178217822,0.4917783251231528,0.5,0.50276160561869,0.009004427979462168
9,2.1053961753845214,0.38067535516235473,0.02525029182434082,0.010489587337636328,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 15}",0.49999999999999983,0.49999999999999994,0.49999999999999983,0.5700000000000002,0.5620000000000002,0.5263097949886104,0.032413257920549096,43,0.5,0.5053762376237624,0.499,0.552985221674877,0.6087487684729065,0.5332220455543092,0.04276706849255362
10,2.475746726989746,0.4919457348161211,0.02668590545654297,0.007144529928055461,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 20}",0.5810980392156861,0.5752941176470587,0.49999999999999983,0.5740000000000001,0.5520000000000002,0.5564635758631471,0.029951175836192095,9,0.5964455445544554,0.6234257425742574,0.4924752475247524,0.5395221674876848,0.5357832512315271,0.5575303906745355,0.04666045955630073
