k,type,score,label
2,Kmeans,0.826437,1
2,Kmeans,0.846747,1
2,Kmeans,0.771555,1
2,Kmeans,0.834287,1
2,Kmeans,0.879679,1
2,Kmeans,0.871177,1
2,Kmeans,0.412528,0
2,Kmeans,0.844683,1
2,Kmeans,0.863978,1
2,Kmeans,0.886045,1
2,Kmeans,0.871824,1
2,Kmeans,0.834855,1
2,Kmeans,0.457439,1
2,Kmeans,0.769746,1
2,Kmeans,0.766829,1
2,Kmeans,0.823111,1
2,Kmeans,0.73146,1
2,Kmeans,0.703432,1
2,Kmeans,0.716924,1
2,Kmeans,0.88054,1
2,Kmeans,0.886066,1
2,Kmeans,0.847212,1
2,Kmeans,0.841345,1
2,Kmeans,0.885542,1
2,Kmeans,0.725987,1
2,Kmeans,0.886517,1
2,Kmeans,0.859975,1
2,Kmeans,0.798642,1
2,Kmeans,0.814544,1
2,Kmeans,0.8242,1
2,Kmeans,0.888341,1
2,Kmeans,0.880406,1
2,Kmeans,0.646529,1
2,Kmeans,0.778804,1
2,Kmeans,0.873628,1
2,Kmeans,0.882442,1
2,Kmeans,0.882666,1
2,Kmeans,0.859676,1
2,Kmeans,0.880528,1
2,Kmeans,0.881678,1
2,Kmeans,0.797262,1
2,Kmeans,0.871343,1
2,Kmeans,0.822804,1
2,Kmeans,0.885387,1
2,Kmeans,0.859765,1
2,Kmeans,0.824157,1
2,Kmeans,0.883777,1
2,Kmeans,0.870316,1
2,Kmeans,0.882352,1
2,Kmeans,0.886421,1
2,Kmeans,0.887159,1
2,Kmeans,0.8384,1
2,Kmeans,0.329217,0
2,Kmeans,0.878701,1
2,Kmeans,0.705852,1
2,Kmeans,0.840564,1
2,Kmeans,0.804268,1
2,Kmeans,0.875284,1
2,Kmeans,0.614537,1
2,Kmeans,0.819131,1
2,Kmeans,0.854755,1
2,Kmeans,0.853509,1
2,Kmeans,0.867322,1
2,Kmeans,0.407759,1
2,Kmeans,0.858851,1
2,Kmeans,0.79258,1
2,Kmeans,0.851969,1
2,Kmeans,0.886952,1
2,Kmeans,0.820936,1
2,Kmeans,0.883867,1
2,Kmeans,0.75229,1
2,Kmeans,0.854038,1
2,Kmeans,0.76098,1
2,Kmeans,0.882071,1
2,Kmeans,0.879239,1
2,Kmeans,0.553969,1
2,Kmeans,0.877815,1
2,Kmeans,0.76457,1
2,Kmeans,0.869732,1
2,Kmeans,0.732306,1
2,Kmeans,0.832864,1
2,Kmeans,0.871694,1
2,Kmeans,0.617658,1
2,Kmeans,0.645228,1
2,Kmeans,0.877961,1
2,Kmeans,0.872723,1
2,Kmeans,0.798753,1
2,Kmeans,0.803433,1
2,Kmeans,0.851183,1
2,Kmeans,0.817436,1
2,Kmeans,0.88136,1
2,Kmeans,0.880416,1
2,Kmeans,0.819449,1
2,Kmeans,0.866432,1
2,Kmeans,0.823317,1
2,Kmeans,0.878204,1
2,Kmeans,0.868216,1
2,Kmeans,0.627438,1
2,Kmeans,0.882192,1
2,Kmeans,0.872831,1
2,Kmeans,0.829663,1
2,Kmeans,0.725571,1
2,Kmeans,0.882395,1
2,Kmeans,0.873427,1
2,Kmeans,0.861211,1
2,Kmeans,0.853489,1
2,Kmeans,0.874715,1
2,Kmeans,0.827701,1
2,Kmeans,0.886955,1
2,Kmeans,0.854031,1
2,Kmeans,0.86984,1
2,Kmeans,0.881796,1
2,Kmeans,0.85472,1
2,Kmeans,0.882851,1
2,Kmeans,0.866031,1
2,Kmeans,0.879167,1
2,Kmeans,0.885261,1
2,Kmeans,0.834663,1
2,Kmeans,0.88349,1
2,Kmeans,0.873463,1
2,Kmeans,0.882856,1
2,Kmeans,0.818527,1
2,Kmeans,0.850576,1
2,Kmeans,0.883677,1
2,Kmeans,0.885135,1
2,Kmeans,0.879445,1
2,Kmeans,0.868236,1
2,Kmeans,0.798356,1
2,Kmeans,0.85779,1
2,Kmeans,0.88211,1
2,Kmeans,0.85691,1
2,Kmeans,0.798367,1
2,Kmeans,0.75459,1
2,Kmeans,0.874215,1
2,Kmeans,0.859524,1
2,Kmeans,0.733082,1
2,Kmeans,0.869784,1
2,Kmeans,0.85931,1
2,Kmeans,0.886028,1
2,Kmeans,0.645722,1
2,Kmeans,0.860016,1
2,Kmeans,0.755516,1
2,Kmeans,0.828901,1
2,Kmeans,0.868768,1
2,Kmeans,0.884166,1
2,Kmeans,0.850214,1
2,Kmeans,0.879936,1
2,Kmeans,0.834408,1
2,Kmeans,0.884862,1
2,Kmeans,0.732961,1
2,Kmeans,0.86917,1
2,Kmeans,0.861478,1
2,Kmeans,0.791771,1
2,Kmeans,0.867388,1
2,Kmeans,0.830976,1
2,Kmeans,0.832128,1
2,Kmeans,0.863486,1
2,Kmeans,0.687692,1
2,Kmeans,0.866458,1
2,Kmeans,0.822621,1
2,Kmeans,0.664859,1
2,Kmeans,0.883002,1
2,Kmeans,0.814682,1
2,Kmeans,0.861716,1
2,Kmeans,0.859527,1
2,Kmeans,0.856496,1
2,Kmeans,0.69251,1
2,Kmeans,0.877172,1
2,Kmeans,0.868096,1
2,Kmeans,0.884696,1
2,Kmeans,0.84812,1
2,Kmeans,0.856803,1
2,Kmeans,0.874662,1
2,Kmeans,0.878422,1
2,Kmeans,0.756178,1
2,Kmeans,0.55634,1
2,Kmeans,0.877936,1
2,Kmeans,0.876656,1
2,Kmeans,0.882939,1
2,Kmeans,0.844266,1
2,Kmeans,0.886398,1
2,Kmeans,0.861754,1
2,Kmeans,0.884021,1
2,Kmeans,0.734001,1
2,Kmeans,0.853586,1
2,Kmeans,0.821477,1
2,Kmeans,0.870349,1
2,Kmeans,0.883896,1
2,Kmeans,0.882075,1
2,Kmeans,0.873582,1
2,Kmeans,0.879296,1
2,Kmeans,0.871669,1
2,Kmeans,0.852273,1
2,Kmeans,0.748595,1
