k,GMM,Kmeans
2,0.8243469072783103,0.8243469072783103
3,0.2818798629856159,0.3921718427012923
4,0.13873357958080593,0.22189800034383708
5,0.10411535268193745,0.22697729294483068
6,0.07723388394583627,0.2641272349788701
7,0.04239606077194442,0.1812488791248898
8,0.07812372382888767,0.2407555099858591
9,0.08082969369294128,0.2478219320380595
10,0.048846498942336544,0.2502828416120912
15,0.05623547712944352,0.2155336153696521
20,0.03819481813063278,0.17158377808696978
25,0.026789402595548125,0.17608672843648768
30,0.042310315380726604,0.18727297541697147
35,0.016293915443157336,0.18456059515654266
40,-0.020993184017584966,0.17223450140596125
