k,GMM,Kmeans
2,0.6262471220260937,0.6262471220260937
3,0.6377590176515733,0.6262471220260937
4,0.6496546431312357,0.6262471220260937
5,0.646968534151957,0.6285495011511896
6,0.6561780506523408,0.6289332310053722
7,0.6542594013814275,0.6308518802762855
8,0.6673062164236377,0.6362240982348427
9,0.6623177283192633,0.6316193399846508
10,0.6488871834228703,0.6308518802762855
15,0.6968534151957022,0.6523407521105142
20,0.7125863392171911,0.6646201074443592
25,0.6980046047582502,0.6619339984650806
30,0.7003069838833461,0.6600153491941673
35,0.7018419033000768,0.6680736761320031
40,0.7118188795088258,0.6830391404451266
