k,GMM,Kmeans
2,0.017298677131152112,0.013175870035037078
3,0.04505535291630543,0.007553259836548543
4,0.04120193380503175,0.020312919462376098
5,0.0395692829128811,0.020774491175991037
6,0.037540766845368646,0.017983965661690183
7,0.03245933567800093,0.014567891564858217
8,0.028826119527473038,0.015795843275761324
9,0.026406186122175768,0.011945988819924598
10,0.017997751106262005,0.011379233412056907
15,0.030789599434215303,0.011741495715357906
20,0.03060929124489358,0.016521317541101078
25,0.029484094492051496,0.014536153767692883
30,0.024723352890225044,0.013754907594639595
35,0.024693155699031067,0.014684375407723422
40,0.027811266078019647,0.01667546610846832
