k,type,score,label
2,Kmeans,0.5033,1
2,Kmeans,0.145454,1
2,Kmeans,0.483132,1
2,Kmeans,0.315824,0
2,Kmeans,0.46407,1
2,Kmeans,0.345394,0
2,Kmeans,0.397675,1
2,Kmeans,0.306227,0
2,Kmeans,0.370459,0
2,Kmeans,0.389177,1
2,Kmeans,0.439718,1
2,Kmeans,0.248698,1
2,Kmeans,0.284719,1
2,Kmeans,0.371697,1
2,Kmeans,0.22262,0
2,Kmeans,0.474931,1
2,Kmeans,0.290677,0
2,Kmeans,0.37327,1
2,Kmeans,0.365091,1
2,Kmeans,0.383875,0
2,Kmeans,0.197718,0
2,Kmeans,0.502578,1
2,Kmeans,0.502782,1
2,Kmeans,0.124164,0
2,Kmeans,0.253868,1
2,Kmeans,0.421584,1
2,Kmeans,0.442588,1
2,Kmeans,0.18855,1
2,Kmeans,0.411013,1
2,Kmeans,0.242173,0
2,Kmeans,0.310944,0
2,Kmeans,0.123504,0
2,Kmeans,0.481628,1
2,Kmeans,0.429046,1
2,Kmeans,-0.039381,0
2,Kmeans,0.475602,1
2,Kmeans,0.263416,1
2,Kmeans,0.448425,1
2,Kmeans,0.48219,1
2,Kmeans,0.417508,1
2,Kmeans,0.03885,1
2,Kmeans,0.071209,0
2,Kmeans,0.338251,1
2,Kmeans,0.005393,0
2,Kmeans,0.414472,0
2,Kmeans,0.064843,0
2,Kmeans,0.24348,1
2,Kmeans,0.35108,0
2,Kmeans,0.353592,1
2,Kmeans,0.450522,1
2,Kmeans,0.176724,1
2,Kmeans,0.335003,0
2,Kmeans,0.366933,0
2,Kmeans,0.452194,1
2,Kmeans,0.313133,0
2,Kmeans,0.421752,1
2,Kmeans,0.426497,0
2,Kmeans,0.450909,1
2,Kmeans,0.04783,0
2,Kmeans,0.521438,1
2,Kmeans,0.354367,0
2,Kmeans,0.379106,1
2,Kmeans,0.305151,1
2,Kmeans,0.517771,1
2,Kmeans,0.471385,1
2,Kmeans,0.460944,1
2,Kmeans,0.41538,1
2,Kmeans,0.375956,1
2,Kmeans,-0.019745,0
2,Kmeans,0.501952,1
2,Kmeans,0.253956,0
2,Kmeans,0.428998,1
2,Kmeans,0.270504,1
2,Kmeans,0.484474,1
2,Kmeans,0.51085,1
2,Kmeans,0.257081,1
2,Kmeans,0.060201,1
2,Kmeans,0.320832,0
2,Kmeans,0.446622,1
2,Kmeans,0.419411,1
2,Kmeans,0.429247,0
2,Kmeans,0.347622,1
2,Kmeans,0.377787,1
2,Kmeans,0.488734,1
2,Kmeans,0.439819,1
2,Kmeans,0.427325,0
2,Kmeans,0.390847,0
2,Kmeans,0.405957,1
2,Kmeans,0.413764,0
2,Kmeans,0.45598,1
2,Kmeans,0.343327,1
2,Kmeans,0.109918,0
2,Kmeans,0.420163,1
2,Kmeans,0.42219,1
2,Kmeans,0.324864,1
2,Kmeans,0.371201,0
2,Kmeans,0.492929,1
2,Kmeans,0.439193,0
2,Kmeans,0.039319,0
2,Kmeans,0.192848,1
2,Kmeans,0.295023,1
2,Kmeans,0.349701,0
2,Kmeans,0.114459,1
2,Kmeans,0.303933,1
2,Kmeans,0.318648,1
2,Kmeans,0.212236,1
2,Kmeans,0.360715,0
2,Kmeans,0.26093,1
2,Kmeans,0.451881,1
2,Kmeans,0.471003,1
2,Kmeans,0.270263,1
2,Kmeans,0.430336,0
2,Kmeans,0.512445,1
2,Kmeans,0.316835,0
2,Kmeans,0.421889,1
2,Kmeans,0.257169,1
2,Kmeans,0.495441,1
2,Kmeans,0.446015,1
2,Kmeans,0.150271,1
2,Kmeans,0.063654,1
2,Kmeans,0.480329,1
2,Kmeans,0.27752,1
2,Kmeans,0.08873,0
2,Kmeans,0.314572,0
2,Kmeans,0.287298,0
2,Kmeans,0.46586,1
2,Kmeans,0.46466,1
2,Kmeans,0.184105,0
2,Kmeans,0.47623,1
2,Kmeans,0.45238,1
2,Kmeans,0.39417,1
2,Kmeans,0.229647,1
2,Kmeans,0.398747,1
2,Kmeans,0.3534,1
2,Kmeans,0.305797,1
2,Kmeans,0.476647,1
2,Kmeans,0.343613,0
2,Kmeans,0.450976,1
2,Kmeans,0.365042,0
2,Kmeans,0.229065,1
2,Kmeans,0.343694,0
2,Kmeans,0.385313,1
2,Kmeans,0.485289,1
2,Kmeans,0.258133,1
2,Kmeans,0.409555,1
2,Kmeans,0.436819,1
2,Kmeans,0.237091,0
