k,GMM,Kmeans
2,0.3114438991822094,0.3403323911340574
3,0.16380520557179873,0.24587869030223627
4,0.1627014792173796,0.2378444837824813
5,0.17293158436437925,0.2504359283738518
6,0.11383691037291623,0.2295537878570094
7,0.07290198724298735,0.18693255445248916
8,0.06769258581277085,0.19127556090547157
9,0.054503989976693305,0.18686594064673484
10,0.02737016459664432,0.178249651394594
15,-0.0013855830669011074,0.1669867906771245
20,-0.008920939841407724,0.16324163623822763
25,0.012214085842642039,0.15359377331934906
30,-0.016154860846631498,0.1485901698694655
35,-0.0060321741312450074,0.1471066418815643
40,-0.006407808970895012,0.14543653918266713
