,0,1,2,3,4,5,6,7,8,9
2,0.8966841636318118,0.9125696428509863,0.8567050677016854,0.8677087466056599,0.8707552326094826,0.8766184691791505,0.902882487311095,0.9137483839226186,0.8826130287677395,0.8561937013295577
3,0.8016479320985241,0.8396625458461504,0.849620605529367,0.8451453464459915,0.8050078337331424,0.8009677172319402,0.8693127300631351,0.8366890548418026,0.8421049334837961,0.8095291098922173
4,0.7706012757074792,0.8125966526417611,0.8080938702852158,0.8629231415665826,0.8009242769634984,0.7512394999383764,0.819643555606225,0.7769807437657283,0.8022629372398613,0.7557676463221272
5,0.7500393681494563,0.7332949292718467,0.6986126080053051,0.7866063185159994,0.7271431218321298,0.7865225799444948,0.689277195370899,0.7196337670982994,0.7368003931950056,0.7243860869163965
6,0.6432784394989658,0.7413180683412851,0.716100012092702,0.7041071329376201,0.6902973751596677,0.7041465981719336,0.7117473244942267,0.7316295217928374,0.6780036812320374,0.6670325781421881
7,0.5807969294340548,0.6132029427646284,0.5843403044733345,0.6633913527798052,0.6102600141963246,0.6420495670230665,0.6580048041716903,0.6611149513234936,0.6161199500348868,0.6291363829773048
8,0.5730331708300425,0.5611867772273429,0.5318196348853311,0.6150222573178877,0.5709067619604292,0.5269216602862049,0.5669018906717692,0.5455688988579501,0.5576877188632378,0.5858101960670823
9,0.5337924493434821,0.49208516257940504,0.4884359533226073,0.46176717678731777,0.587858234365952,0.5424683169185022,0.5403169156684676,0.48671574948756263,0.459963621687763,0.5282536003827736
10,0.47564528608366297,0.5298832163390853,0.5171451959497421,0.5156212239793935,0.5893193350457615,0.4829650392887906,0.4958404994446675,0.48897447415884654,0.49087384701153297,0.5253479373630513
15,0.17161184419400988,0.19957468381184304,0.19241292037322374,0.23867803943501925,0.28465734855732033,0.2414236114644471,0.23601483941441279,0.19349425817865282,0.22561965725674749,0.2515461114717669
20,5.750774050777582e-30,1.0335484704570837e-29,1.9843392459038095e-29,5.350380753659702e-30,1.4885063642887896e-28,7.503809652809293e-29,7.459071806599036e-30,0.05263157894736844,1.1307028286472443e-29,1.2125207302775098e-29
25,2.8030710387669762e-30,2.657766322550139e-30,1.882627414693886e-30,8.523269079701651e-30,2.4415094527729702e-29,8.108449619271624e-30,7.912590576412801e-30,4.232320271093953e-30,2.280010132629471e-30,2.9204491430291902e-30
30,8.370560019794405e-30,3.145587317478609e-30,4.932922604534385e-30,5.076713694177457e-30,2.8655975360534937e-30,1.2194609782407071e-29,2.66550142378815e-30,2.454008281104905e-30,4.345156873793055e-30,2.625382681038157e-30
35,3.3049243309084146e-30,1.9133385216418404e-30,2.1260870508323708e-30,5.461730784828967e-30,4.500454008717236e-30,7.301451625538766e-30,2.1757967162585598e-30,2.559536270689825e-30,3.959386497551987e-30,5.446523586509983e-30
40,1.7929760949787402e-30,7.579049447975499e-30,9.534038161840089e-30,5.059902455382073e-30,6.589002016934405e-30,8.248645848509948e-30,3.0694891082678008e-30,7.187932853249361e-30,3.065661825791121e-30,1.753720746747674e-30
45,1.84494508694787e-30,5.815470295587828e-30,1.9847295917574026e-30,2.0226087834279292e-30,2.360578544523226e-30,2.9811947957519476e-30,1.9531362315363213e-30,4.7093925598825574e-30,2.7796106343754216e-30,1.7171576556912772e-30
50,2.239063565172525e-30,6.805455259133941e-30,4.0124665294230524e-30,1.93281229082996e-30,1.937864712356105e-30,9.161350355480718e-30,2.4011504301026967e-30,3.776114185025686e-30,5.145735925106784e-30,7.679615065524569e-30
55,2.237589073810681e-30,1.4116973348517544e-30,1.8191119698346833e-30,1.544746669544544e-30,1.4095783694373695e-30,9.530774301793249e-30,1.7376856176178967e-30,2.423092986584282e-30,2.7470566944017897e-30,2.468114093488027e-30
60,3.0798837928181443e-30,7.458754634443889e-30,2.504255938479742e-30,4.771019644850135e-30,4.464490471938163e-30,2.1794401888542123e-30,1.5596574644848185e-30,1.197838633787184e-29,2.799598881158907e-30,1.7974636489428825e-30
